Time,cumulative_mean_fraction_lambda_W
257.25,0.531752
257.5,0.531752
257.75,0.531752
258,0.531752
258.25,0.531752
258.5,0.531752
258.75,0.531752
259,0.531752
259.25,0.531752
259.5,0.531752
259.75,0.531752
260,0.531752
260.25,0.531752
260.5,0.531752
260.75,0.531752
261,0.531752
261.25,0.531752
261.5,0.531752
261.75,0.531752
262,0.531752
262.25,0.531752
262.5,0.531752
262.75,0.531752
263,0.531752
263.25,0.531752
263.5,0.531752
263.75,0.531752
264,0.531752
264.25,0.531752
264.5,0.531752
264.75,0.531752
265,0.531752
265.25,0.531752
265.5,0.531752
265.75,0.531752
266,0.531752
266.25,0.531752
266.5,0.531752
266.75,0.531752
267,0.531752
267.25,0.531752
267.5,0.531752
267.75,0.531752
268,0.531752
268.25,0.531752
268.5,0.531752
268.75,0.531752
269,0.531752
269.25,0.531752
269.5,0.531752
269.75,0.531752
270,0.531752
270.25,0.531752
270.5,0.531752
270.75,0.531752
271,0.531752
271.25,0.531752
271.5,0.531752
271.75,0.531752
272,0.531752
272.25,0.531752
272.5,0.531752
272.75,0.531752
273,0.531752
273.25,0.531752
273.5,0.531752
273.75,0.531752
274,0.531752
274.25,0.531752
274.5,0.531752
274.75,0.531752
275,0.531752
275.25,0.531752
275.5,0.531752
275.75,0.531752
276,0.531752
276.25,0.531752
276.5,0.531752
276.75,0.531752
277,0.531752
277.25,0.531752
277.5,0.531752
277.75,0.531752
278,0.531752
278.25,0.531752
278.5,0.531752
278.75,0.531752
279,0.531752
279.25,0.531752
279.5,0.531752
279.75,0.531752
280,0.531752
280.25,0.531752
280.5,0.531752
280.75,0.531752
281,0.531752
281.25,0.531752
281.5,0.531752
281.75,0.531752
282,0.531752
282.25,0.531752
282.5,0.531752
282.75,0.531752
283,0.531752
283.25,0.531752
283.5,0.531752
283.75,0.531752
284,0.531752
284.25,0.531752
284.5,0.531752
284.75,0.531752
285,0.531752
285.25,0.531752
285.5,0.531752
285.75,0.531752
286,0.531752
286.25,0.531752
286.5,0.531752
286.75,0.531752
287,0.531752
287.25,0.531752
287.5,0.531752
287.75,0.531752
288,0.531752
288.25,0.531752
288.5,0.531752
288.75,0.531752
289,0.531752
289.25,0.531752
289.5,0.531752
289.75,0.531752
290,0.531752
290.25,0.531752
290.5,0.531752
290.75,0.531752
291,0.531752
291.25,0.531752
291.5,0.531752
291.75,0.531752
292,0.531752
292.25,0.531752
292.5,0.531752
292.75,0.531752
293,0.531752
293.25,0.531752
293.5,0.531752
293.75,0.531752
294,0.531752
294.25,0.531752
294.5,0.531752
294.75,0.531752
295,0.531752
295.25,0.531752
295.5,0.531752
295.75,0.531752
296,0.531752
296.25,0.531752
296.5,0.531752
296.75,0.531752
297,0.531752
297.25,0.531752
297.5,0.531752
297.75,0.531752
298,0.531752
298.25,0.531752
298.5,0.531752
298.75,0.531752
299,0.531752
299.25,0.531752
299.5,0.531752
299.75,0.531752
300,0.531752
300.25,0.531752
300.5,0.531752
300.75,0.531752
301,0.531752
301.25,0.531752
301.5,0.531752
301.75,0.531752
302,0.531752
302.25,0.531752
302.5,0.531752
302.75,0.531752
303,0.531752
303.25,0.531752
303.5,0.531752
303.75,0.531752
304,0.531752
304.25,0.531752
304.5,0.531752
304.75,0.531752
305,0.531752
305.25,0.531752
305.5,0.531752
305.75,0.531752
306,0.531752
306.25,0.531752
306.5,0.531752
306.75,0.531752
307,0.531752
307.25,0.531752
307.5,0.531752
307.75,0.531752
308,0.531752
308.25,0.531752
308.5,0.531752
308.75,0.531752
309,0.531752
309.25,0.531752
309.5,0.531752
309.75,0.531752
310,0.531752
310.25,0.531752
