Time,cumulative_mean_fraction_lambda_H
300.25,0.294783
300.5,0.294783
300.75,0.294783
301,0.294783
301.25,0.294783
301.5,0.294783
301.75,0.294783
302,0.294783
302.25,0.294783
302.5,0.294783
302.75,0.294783
303,0.294783
303.25,0.294783
303.5,0.294783
303.75,0.294783
304,0.294783
304.25,0.294783
304.5,0.294783
304.75,0.294783
305,0.294783
305.25,0.294783
305.5,0.294783
305.75,0.294783
306,0.294783
306.25,0.294783
306.5,0.294783
306.75,0.294783
307,0.294783
307.25,0.294783
307.5,0.294783
307.75,0.294783
308,0.294783
308.25,0.294783
308.5,0.294783
308.75,0.294783
309,0.294783
309.25,0.294783
309.5,0.294783
309.75,0.294783
310,0.294783
310.25,0.294783
310.5,0.294783
310.75,0.294783
311,0.294783
311.25,0.294783
311.5,0.294783
311.75,0.294783
312,0.294783
312.25,0.294783
312.5,0.294783
312.75,0.294783
313,0.294783
313.25,0.294783
313.5,0.294783
313.75,0.294783
314,0.294783
314.25,0.294783
314.5,0.294783
314.75,0.294783
315,0.294783
315.25,0.294783
315.5,0.294783
315.75,0.294783
316,0.294783
316.25,0.294783
316.5,0.294783
316.75,0.294783
317,0.294783
317.25,0.294783
317.5,0.294783
317.75,0.294783
318,0.294783
318.25,0.294783
318.5,0.294783
318.75,0.294783
319,0.294783
319.25,0.294783
319.5,0.294783
319.75,0.294783
320,0.294783
320.25,0.294783
320.5,0.294783
320.75,0.294783
321,0.294783
321.25,0.294783
321.5,0.294783
321.75,0.294783
322,0.294783
322.25,0.294783
322.5,0.294783
322.75,0.294783
323,0.294783
323.25,0.294783
323.5,0.294783
323.75,0.294783
324,0.294783
324.25,0.294783
324.5,0.294783
324.75,0.294783
325,0.294783
325.25,0.294783
325.5,0.294783
325.75,0.294783
326,0.294783
326.25,0.294783
326.5,0.294783
326.75,0.294783
327,0.294783
327.25,0.294783
327.5,0.294783
327.75,0.294783
328,0.294783
328.25,0.294783
328.5,0.294783
328.75,0.294783
329,0.294783
329.25,0.294783
329.5,0.294783
329.75,0.294783
330,0.294783
330.25,0.294783
330.5,0.294783
330.75,0.294783
331,0.294783
331.25,0.294783
331.5,0.294783
331.75,0.294783
332,0.294783
332.25,0.294783
332.5,0.294783
332.75,0.294783
333,0.294783
333.25,0.294783
333.5,0.294783
333.75,0.294783
334,0.294783
334.25,0.294783
334.5,0.294783
334.75,0.294783
335,0.294783
335.25,0.294783
335.5,0.294783
335.75,0.294783
336,0.294783
336.25,0.294783
336.5,0.294783
336.75,0.294783
337,0.294783
337.25,0.294783
337.5,0.294783
337.75,0.294783
338,0.294783
338.25,0.294783
338.5,0.294783
338.75,0.294783
339,0.294783
339.25,0.294783
339.5,0.294783
339.75,0.294783
340,0.294783
340.25,0.294783
340.5,0.294783
340.75,0.294783
341,0.294783
341.25,0.294783
341.5,0.294783
341.75,0.294783
342,0.294783
342.25,0.294783
342.5,0.294783
342.75,0.294783
343,0.294783
343.25,0.294783
343.5,0.294783
343.75,0.294783
344,0.294783
344.25,0.294783
344.5,0.294783
344.75,0.294783
345,0.294783
345.25,0.294783
345.5,0.294783
345.75,0.294783
346,0.294783
346.25,0.294783
346.5,0.294783
346.75,0.294783
347,0.294783
347.25,0.294783
347.5,0.294783
347.75,0.294783
348,0.294783
348.25,0.294783
348.5,0.294783
348.75,0.294783
349,0.294783
349.25,0.294783
349.5,0.294783
349.75,0.294783
350,0.294783
350.25,0.294783
350.5,0.294783
350.75,0.294783
351,0.294783
351.25,0.294783
351.5,0.294783
351.75,0.294783
352,0.294783
352.25,0.294783
352.5,0.294783
352.75,0.294783
353,0.294783
353.25,0.294783
353.5,0.294783
353.75,0.294783
354,0.294783
354.25,0.294783
354.5,0.294783
354.75,0.294783
355,0.294783
355.25,0.294783
355.5,0.294783
355.75,0.294783
356,0.294783
356.25,0.294783
356.5,0.294783
356.75,0.294783
357,0.294783
357.25,0.294783
357.5,0.294783
357.75,0.294783
358,0.294783
358.25,0.294783
358.5,0.294783
358.75,0.294783
359,0.294783
359.25,0.294783
359.5,0.294783
359.75,0.294783
360,0.294783
360.25,0.294783
360.5,0.294783
360.75,0.294783
361,0.294783
361.25,0.294783
361.5,0.294783
361.75,0.294783
362,0.294783
362.25,0.294783
362.5,0.294783
362.75,0.294783
363,0.294783
363.25,0.294783
363.5,0.294783
363.75,0.294783
364,0.294783
364.25,0.294783
364.5,0.294783
364.75,0.294783
365,0.294783
365.25,0.294783
365.5,0.294783
365.75,0.294783
366,0.294783
366.25,0.294783
366.5,0.294783
366.75,0.294783
367,0.294783
367.25,0.294783
367.5,0.294783
367.75,0.294783
368,0.294783
368.25,0.294783
368.5,0.294783
368.75,0.294783
369,0.294783
369.25,0.294783
369.5,0.294783
369.75,0.294783
370,0.294783
370.25,0.294783
370.5,0.294783
370.75,0.294783
371,0.294783
371.25,0.294783
371.5,0.294783
371.75,0.294783
372,0.294783
372.25,0.294783
372.5,0.294783
372.75,0.294783
373,0.294783
373.25,0.294783
373.5,0.294783
373.75,0.294783
374,0.294783
374.25,0.294783
374.5,0.294783
374.75,0.294783
375,0.294783
375.25,0.294783
375.5,0.294783
375.75,0.294783
376,0.294783
376.25,0.294783
376.5,0.294783
376.75,0.294783
377,0.294783
377.25,0.294783
377.5,0.294783
377.75,0.294783
378,0.294783
378.25,0.294783
378.5,0.294783
378.75,0.294783
379,0.294783
379.25,0.294783
379.5,0.294783
379.75,0.294783
380,0.294783
380.25,0.294783
380.5,0.294783
380.75,0.294783
381,0.294783
381.25,0.294783
381.5,0.294783
381.75,0.294783
382,0.294783
382.25,0.294783
382.5,0.294783
382.75,0.294783
383,0.294783
383.25,0.294783
383.5,0.294783
383.75,0.294783
384,0.294783
384.25,0.294783
384.5,0.294783
384.75,0.294783
385,0.294783
385.25,0.294783
385.5,0.294783
385.75,0.294783
386,0.294783
386.25,0.294783
386.5,0.294783
386.75,0.294783
387,0.294783
387.25,0.294783
387.5,0.294783
387.75,0.294783
388,0.294783
388.25,0.294783
388.5,0.294783
388.75,0.294783
389,0.294783
389.25,0.294783
389.5,0.294783
389.75,0.294783
390,0.294783
390.25,0.294783
390.5,0.294783
390.75,0.294783
391,0.294783
391.25,0.294783
391.5,0.294783
391.75,0.294783
392,0.294783
392.25,0.294783
392.5,0.294783
392.75,0.294783
393,0.294783
393.25,0.294783
393.5,0.294783
393.75,0.294783
394,0.294783
394.25,0.294783
394.5,0.294783
394.75,0.294783
395,0.294783
395.25,0.294783
395.5,0.294783
395.75,0.294783
396,0.294783
396.25,0.294783
396.5,0.294783
396.75,0.294783
397,0.294783
397.25,0.294783
397.5,0.294783
397.75,0.294783
398,0.294783
398.25,0.294783
398.5,0.294783
398.75,0.294783
399,0.294783
399.25,0.294783
399.5,0.294783
399.75,0.294783
400,0.294783
400.25,0.294783
400.5,0.294783
400.75,0.294783
401,0.294783
401.25,0.294783
401.5,0.294783
401.75,0.294783
402,0.294783
402.25,0.294783
402.5,0.294783
402.75,0.294783
403,0.294783
403.25,0.294783
403.5,0.294783
403.75,0.294783
404,0.294783
404.25,0.294783
404.5,0.294783
404.75,0.294783
405,0.294783
405.25,0.294783
405.5,0.294783
405.75,0.294783
406,0.294783
406.25,0.294783
406.5,0.294783
406.75,0.294783
407,0.294783
407.25,0.294783
407.5,0.294783
407.75,0.294783
408,0.294783
408.25,0.294783
408.5,0.294783
408.75,0.294783
409,0.294783
409.25,0.294783
409.5,0.294783
