Time,susceptible_lambda_C
183.5,20.8355
183.75,20.2538
184,19.7891
184.25,18.3596
184.5,17.8124
184.75,18.695
185,19.0486
185.25,18.892
185.5,18.976
185.75,18.7758
186,19.0073
186.25,18.3147
186.5,17.3105
186.75,17.86
187,16.5924
187.25,16.7249
187.5,16.176
187.75,15.2333
188,14.7209
188.25,14.5137
188.5,14.8043
188.75,14.7068
189,13.9258
189.25,13.8105
189.5,13.8389
189.75,13.6547
190,13.5566
190.25,13.1195
190.5,12.3756
190.75,11.8754
191,11.3742
191.25,10.504
191.5,10.0834
191.75,10.4804
192,10.6459
192.25,10.5107
192.5,8.71745
192.75,8.61865
193,8.97818
193.25,8.8703
193.5,7.84885
193.75,7.84147
194,7.76939
194.25,7.81004
194.5,7.39158
194.75,6.84804
195,6.50155
195.25,6.24527
195.5,6.17731
195.75,6.01153
196,5.82188
196.25,5.83517
196.5,5.96664
196.75,5.40047
197,5.40499
197.25,5.40165
197.5,5.29035
197.75,5.45532
198,5.56732
198.25,5.04113
198.5,4.80124
198.75,4.70163
199,4.4789
199.25,4.47853
199.5,4.27277
199.75,4.33931
200,3.8912
200.25,3.3356
200.5,3.34532
200.75,3.30426
201,3.37723
201.25,3.37106
201.5,3.80993
201.75,4.0052
202,4.45496
202.25,4.42758
202.5,4.73748
202.75,4.84052
203,4.171
203.25,4.11329
203.5,4.1181
203.75,4.58805
204,3.9364
204.25,3.62151
204.5,3.43275
204.75,3.36511
205,3.28049
205.25,3.38549
205.5,3.24504
205.75,2.70236
206,2.55547
206.25,2.10782
206.5,2.12269
206.75,2.0127
207,2.11087
207.25,2.2188
207.5,2.29609
207.75,2.61967
208,2.73506
208.25,2.72245
208.5,2.75468
208.75,2.69494
209,2.60835
209.25,2.33397
209.5,2.36698
209.75,2.13546
210,2.14837
210.25,2.02775
210.5,1.78415
210.75,3.0696
211,2.94652
211.25,2.99518
211.5,2.68753
211.75,3.53715
212,3.90945
212.25,3.89194
212.5,3.96411
212.75,1.67354
213,1.57099
213.25,1.55101
213.5,1.54356
