Day,num_positive,num_tested,num_hospitalised,num_cumulative_hospitalizations,num_critical,num_fatalities
542,0,0,0,22910,0,2645
543,0,0,0,22910,0,2645
544,0,0,0,22910,0,2645
545,0,0,0,22910,0,2645
546,0,0,0,22910,0,2645
547,0,0,0,22910,0,2645
548,0,0,0,22910,0,2645
549,0,0,0,22910,0,2645
550,0,0,0,22910,0,2645
551,0,0,0,22910,0,2645
552,0,0,0,22910,0,2645
553,0,0,0,22910,0,2645
554,0,0,0,22910,0,2645
555,0,0,0,22910,0,2645
556,0,0,0,22910,0,2645
557,0,0,0,22910,0,2645
558,0,0,0,22910,0,2645
559,0,0,0,22910,0,2645
560,0,0,0,22910,0,2645
561,0,0,0,22910,0,2645
562,0,0,0,22910,0,2645
563,0,0,0,22910,0,2645
564,0,0,0,22910,0,2645
565,0,0,0,22910,0,2645
566,0,0,0,22910,0,2645
567,0,0,0,22910,0,2645
568,0,0,0,22910,0,2645
569,0,0,0,22910,0,2645
570,0,0,0,22910,0,2645
571,0,0,0,22910,0,2645
572,0,0,0,22910,0,2645
573,0,0,0,22910,0,2645
574,0,0,0,22910,0,2645
575,0,0,0,22910,0,2645
576,0,0,0,22910,0,2645
577,0,0,0,22910,0,2645
578,0,0,0,22910,0,2645
579,0,0,0,22910,0,2645
580,0,0,0,22910,0,2645
581,0,0,0,22910,0,2645
582,0,0,0,22910,0,2645
583,0,0,0,22910,0,2645
584,0,0,0,22910,0,2645
585,0,0,0,22910,0,2645
586,0,0,0,22910,0,2645
587,0,0,0,22910,0,2645
588,0,0,0,22910,0,2645
589,0,0,0,22910,0,2645
590,0,0,0,22910,0,2645
591,0,0,0,22910,0,2645
