Time,normal_interactions,curtailed_interactions
197.75,773850,773850
198,773854,773854
198.25,773861,773861
198.5,773868,773868
198.75,773867,773867
199,773872,773872
199.25,773870,773870
199.5,773869,773869
199.75,773874,773874
200,773884,773884
200.25,773886,773886
200.5,773886,773886
200.75,773889,773889
201,773888,773888
201.25,773887,773887
201.5,773891,773891
201.75,773891,773891
202,773895,773895
202.25,773900,773900
202.5,773903,773903
202.75,773904,773904
203,773911,773911
203.25,773916,773916
203.5,773914,773914
203.75,773917,773917
204,773923,773923
204.25,773924,773924
204.5,773928,773928
204.75,773929,773929
205,773931,773931
205.25,773933,773933
205.5,773937,773937
205.75,773941,773941
206,773945,773945
206.25,773946,773946
206.5,773948,773948
206.75,773950,773950
207,773952,773952
207.25,773956,773956
207.5,773956,773956
207.75,773956,773956
208,773959,773959
208.25,773959,773959
208.5,773960,773960
208.75,773964,773964
209,773967,773967
209.25,773969,773969
209.5,773972,773972
209.75,773976,773976
210,773974,773974
210.25,773972,773972
210.5,773974,773974
210.75,773976,773976
211,773978,773978
211.25,773981,773981
211.5,773984,773984
211.75,773981,773981
212,773982,773982
212.25,773983,773983
212.5,773983,773983
212.75,773985,773985
213,773988,773988
213.25,773988,773988
213.5,773992,773992
213.75,773992,773992
214,773991,773991
214.25,773994,773994
214.5,773995,773995
214.75,773996,773996
215,773996,773996
215.25,773994,773994
215.5,773996,773996
215.75,774000,774000
216,774001,774001
216.25,774003,774003
216.5,774005,774005
216.75,774006,774006
217,774009,774009
217.25,774007,774007
217.5,774007,774007
217.75,774007,774007
218,774008,774008
218.25,774009,774009
218.5,774009,774009
218.75,774007,774007
219,774014,774014
219.25,774016,774016
219.5,774017,774017
219.75,774018,774018
220,774018,774018
220.25,774020,774020
220.5,774020,774020
220.75,774022,774022
221,774021,774021
221.25,774020,774020
221.5,774020,774020
221.75,774021,774021
222,774022,774022
222.25,774022,774022
222.5,774023,774023
222.75,774022,774022
223,774023,774023
223.25,774024,774024
223.5,774026,774026
223.75,774025,774025
224,774025,774025
224.25,774026,774026
224.5,774028,774028
224.75,774028,774028
225,774027,774027
225.25,774025,774025
225.5,774026,774026
225.75,774027,774027
226,774028,774028
226.25,774029,774029
226.5,774029,774029
226.75,774029,774029
227,774028,774028
227.25,774028,774028
227.5,774028,774028
227.75,774029,774029
228,774031,774031
228.25,774031,774031
228.5,774033,774033
228.75,774033,774033
229,774034,774034
229.25,774035,774035
229.5,774036,774036
229.75,774036,774036
230,774036,774036
230.25,774035,774035
230.5,774035,774035
230.75,774035,774035
231,774035,774035
231.25,774035,774035
231.5,774035,774035
231.75,774034,774034
232,774038,774038
232.25,774037,774037
232.5,774037,774037
232.75,774037,774037
233,774037,774037
233.25,774037,774037
233.5,774038,774038
233.75,774039,774039
234,774039,774039
234.25,774038,774038
234.5,774038,774038
234.75,774039,774039
235,774038,774038
235.25,774039,774039
235.5,774039,774039
235.75,774039,774039
236,774039,774039
236.25,774039,774039
236.5,774039,774039
236.75,774039,774039
237,774039,774039
237.25,774039,774039
237.5,774040,774040
237.75,774039,774039
238,774040,774040
238.25,774040,774040
238.5,774040,774040
238.75,774040,774040
239,774040,774040
239.25,774040,774040
239.5,774040,774040
239.75,774040,774040
240,774040,774040
240.25,774040,774040
240.5,774042,774042
240.75,774042,774042
241,774043,774043
241.25,774043,774043
241.5,774043,774043
241.75,774044,774044
242,774044,774044
242.25,774044,774044
242.5,774044,774044
242.75,774044,774044
243,774044,774044
243.25,774044,774044
243.5,774044,774044
243.75,774044,774044
244,774045,774045
244.25,774044,774044
244.5,774045,774045
244.75,774045,774045
245,774045,774045
245.25,774045,774045
245.5,774045,774045
245.75,774045,774045
246,774045,774045
246.25,774045,774045
246.5,774045,774045
246.75,774045,774045
247,774045,774045
247.25,774045,774045
247.5,774045,774045
247.75,774045,774045
248,774045,774045
248.25,774045,774045
248.5,774045,774045
248.75,774045,774045
249,774045,774045
249.25,774044,774044
249.5,774045,774045
249.75,774045,774045
250,774045,774045
250.25,774045,774045
250.5,774045,774045
250.75,774044,774044
251,774044,774044
251.25,774044,774044
251.5,774044,774044
251.75,774044,774044
252,774044,774044
252.25,774045,774045
252.5,774045,774045
252.75,774045,774045
253,774045,774045
253.25,774045,774045
253.5,774045,774045
253.75,774045,774045
254,774045,774045
254.25,774045,774045
254.5,774045,774045
254.75,774045,774045
255,774045,774045
255.25,774045,774045
255.5,774045,774045
255.75,774045,774045
256,774045,774045
256.25,774045,774045
256.5,774045,774045
256.75,774045,774045
257,774046,774046
257.25,774046,774046
257.5,774046,774046
257.75,774046,774046
258,774046,774046
258.25,774046,774046
258.5,774046,774046
258.75,774046,774046
259,774046,774046
259.25,774046,774046
259.5,774046,774046
259.75,774046,774046
260,774046,774046
260.25,774046,774046
260.5,774046,774046
260.75,774046,774046
261,774046,774046
261.25,774046,774046
261.5,774046,774046
261.75,774046,774046
262,774046,774046
262.25,774046,774046
262.5,774046,774046
262.75,774046,774046
263,774046,774046
263.25,774046,774046
263.5,774046,774046
263.75,774046,774046
264,774046,774046
264.25,774046,774046
264.5,774046,774046
264.75,774046,774046
265,774046,774046
265.25,774046,774046
265.5,774046,774046
265.75,774046,774046
266,774046,774046
266.25,774046,774046
266.5,774046,774046
266.75,774046,774046
267,774046,774046
267.25,774046,774046
267.5,774046,774046
267.75,774046,774046
268,774046,774046
268.25,774046,774046
268.5,774046,774046
268.75,774046,774046
269,774046,774046
269.25,774046,774046
269.5,774046,774046
269.75,774046,774046
270,774046,774046
270.25,774046,774046
270.5,774046,774046
270.75,774046,774046
271,774046,774046
271.25,774046,774046
271.5,774046,774046
271.75,774046,774046
272,774046,774046
272.25,774046,774046
272.5,774046,774046
272.75,774046,774046
273,774046,774046
273.25,774046,774046
273.5,774046,774046
273.75,774046,774046
274,774046,774046
274.25,774046,774046
274.5,774046,774046
274.75,774046,774046
275,774046,774046
275.25,774046,774046
275.5,774046,774046
275.75,774046,774046
276,774046,774046
276.25,774046,774046
276.5,774046,774046
276.75,774046,774046
277,774046,774046
277.25,774046,774046
277.5,774046,774046
277.75,774046,774046
278,774046,774046
278.25,774046,774046
278.5,774046,774046
278.75,774046,774046
279,774046,774046
279.25,774046,774046
279.5,774046,774046
279.75,774046,774046
280,774046,774046
280.25,774046,774046
280.5,774046,774046
280.75,774046,774046
281,774046,774046
281.25,774046,774046
281.5,774046,774046
281.75,774046,774046
282,774046,774046
282.25,774046,774046
282.5,774046,774046
282.75,774046,774046
283,774046,774046
283.25,774046,774046
283.5,774046,774046
283.75,774046,774046
284,774046,774046
284.25,774046,774046
284.5,774046,774046
284.75,774046,774046
285,774046,774046
285.25,774046,774046
285.5,774046,774046
285.75,774046,774046
286,774046,774046
286.25,774046,774046
286.5,774046,774046
286.75,774046,774046
287,774046,774046
287.25,774046,774046
287.5,774046,774046
287.75,774046,774046
288,774046,774046
288.25,774046,774046
288.5,774046,774046
288.75,774046,774046
289,774046,774046
289.25,774046,774046
289.5,774046,774046
289.75,774046,774046
290,774046,774046
290.25,774046,774046
290.5,774046,774046
290.75,774046,774046
291,774046,774046
291.25,774046,774046
291.5,774046,774046
291.75,774046,774046
292,774046,774046
292.25,774046,774046
292.5,774046,774046
292.75,774046,774046
293,774046,774046
293.25,774046,774046
293.5,774046,774046
293.75,774046,774046
294,774046,774046
294.25,774046,774046
294.5,774046,774046
294.75,774046,774046
295,774046,774046
295.25,774046,774046
295.5,774046,774046
295.75,774046,774046
296,774046,774046
296.25,774046,774046
296.5,774046,774046
296.75,774046,774046
297,774046,774046
297.25,774046,774046
297.5,774046,774046
297.75,774046,774046
298,774046,774046
298.25,774046,774046
298.5,774046,774046
298.75,774046,774046
299,774046,774046
299.25,774046,774046
299.5,774046,774046
299.75,774046,774046
300,774046,774046
300.25,774046,774046
300.5,774046,774046
300.75,774046,774046
301,774046,774046
301.25,774046,774046
301.5,774046,774046
301.75,774046,774046
302,774046,774046
302.25,774046,774046
302.5,774046,774046
302.75,774046,774046
303,774046,774046
303.25,774046,774046
303.5,774046,774046
303.75,774046,774046
304,774046,774046
304.25,774046,774046
304.5,774046,774046
304.75,774046,774046
305,774046,774046
305.25,774046,774046
305.5,774046,774046
305.75,774046,774046
306,774046,774046
306.25,774046,774046
306.5,774046,774046
306.75,774046,774046
307,774046,774046
307.25,774046,774046
307.5,774046,774046
307.75,774046,774046
308,774046,774046
308.25,774046,774046
308.5,774046,774046
308.75,774046,774046
309,774046,774046
309.25,774046,774046
309.5,774046,774046
309.75,774046,774046
310,774046,774046
310.25,774046,774046
310.5,774046,774046
310.75,774046,774046
311,774046,774046
311.25,774046,774046
311.5,774046,774046
311.75,774046,774046
312,774046,774046
312.25,774046,774046
312.5,774046,774046
312.75,774046,774046
313,774046,774046
313.25,774046,774046
313.5,774046,774046
313.75,774046,774046
314,774046,774046
314.25,774046,774046
314.5,774046,774046
314.75,774046,774046
315,774046,774046
315.25,774046,774046
315.5,774046,774046
315.75,774046,774046
316,774046,774046
316.25,774046,774046
316.5,774046,774046
316.75,774046,774046
317,774046,774046
317.25,774046,774046
317.5,774046,774046
317.75,774046,774046
318,774046,774046
318.25,774046,774046
318.5,774046,774046
318.75,774046,774046
319,774046,774046
319.25,774046,774046
319.5,774046,774046
319.75,774046,774046
320,774046,774046
320.25,774046,774046
320.5,774046,774046
320.75,774046,774046
321,774046,774046
321.25,774046,774046
321.5,774046,774046
321.75,774046,774046
322,774046,774046
322.25,774046,774046
322.5,774046,774046
322.75,774046,774046
323,774046,774046
323.25,774046,774046
323.5,774046,774046
323.75,774046,774046
324,774046,774046
324.25,774046,774046
324.5,774046,774046
324.75,774046,774046
325,774046,774046
325.25,774046,774046
325.5,774046,774046
325.75,774046,774046
326,774046,774046
326.25,774046,774046
326.5,774046,774046
