Time,mean_fraction_lambda_W
195,0.420935
195.25,0.486017
195.5,0.424026
195.75,0.42956
196,0.420793
196.25,0.45514
196.5,0.461544
196.75,0.511913
197,0.415664
197.25,0.476847
197.5,0.576216
197.75,0.570571
198,0.453054
198.25,0.632416
198.5,0.480498
198.75,0.461437
199,0.516139
199.25,0.530348
199.5,0.541047
199.75,0.496176
200,0.563344
200.25,0.420248
200.5,0.661147
200.75,0.430583
201,0.592868
201.25,0.464822
201.5,0.481177
201.75,0.496332
202,0.506646
202.25,0.49394
202.5,0.656275
202.75,0.593901
203,0.591004
203.25,0.539364
203.5,0.548835
203.75,0.572517
204,0.384869
204.25,0.482123
204.5,0.487179
204.75,0.691254
205,0.540075
205.25,0.472995
205.5,0.572562
205.75,0.467829
206,0.501985
206.25,0.469595
206.5,0.526075
206.75,0.586994
207,0.58146
207.25,0.465089
207.5,0.556794
207.75,0.571941
208,0.564744
208.25,0.53203
208.5,0.545255
208.75,0.518105
209,0.541553
209.25,0.502487
209.5,0.538131
209.75,0.473329
210,0.536047
210.25,0.561245
210.5,0.590779
210.75,0.586983
211,0.538852
211.25,0.61484
211.5,0.616947
211.75,0.519027
212,0.53031
212.25,0.47602
212.5,0.448831
212.75,0.591268
213,0.54169
213.25,0.450479
213.5,0.545458
213.75,0.418769
214,0.462534
214.25,0.55109
214.5,0.366193
214.75,0.555117
215,0.56502
215.25,0.56993
215.5,0.501097
215.75,0.553491
216,0.539002
216.25,0.467547
216.5,0.422442
216.75,0.47747
217,0.515208
217.25,0.575708
217.5,0.514972
217.75,0.543597
218,0.49777
218.25,0.580558
218.5,0.504788
218.75,0.434446
219,0.431052
219.25,0.532083
219.5,0.465219
219.75,0.594926
220,0.54809
220.25,0.581401
220.5,0.4965
220.75,0.526326
221,0.46908
221.25,0.4834
221.5,0.562765
221.75,0.425877
222,0.590482
222.25,0.549767
222.5,0.365206
222.75,0.709638
223,0.447916
223.25,0.512457
223.5,0.528558
223.75,0.534941
224,0.464602
224.25,0.470463
224.5,0.479997
224.75,0.580246
225,0.471446
225.25,0.560132
225.5,0.460887
225.75,0.5494
226,0.3592
226.25,0.426776
226.5,0.436278
226.75,0.34638
227,0.55785
227.25,0.534112
227.5,0.502689
227.75,0.413109
228,0.549248
228.25,0.459576
228.5,0.545532
228.75,0.498373
229,0.423171
229.25,0.454759
229.5,0.428743
229.75,0.425735
230,0.559906
230.25,0.502447
230.5,0.438132
230.75,0.462593
231,0.504064
231.25,0.589619
231.5,0.563319
231.75,0.350828
232,0.490968
232.25,0.373257
232.5,0.597003
232.75,0.53545
233,0.601212
233.25,0.458963
233.5,0.483366
233.75,0.484606
234,0.544809
234.25,0.450863
234.5,0.438271
234.75,0.405569
235,0.51478
235.25,0.457878
235.5,0.348449
235.75,0.472892
236,0.420597
236.25,0.381499
236.5,0.445405
236.75,0.530909
237,0.527402
237.25,0.455991
237.5,0.575123
237.75,0.436937
238,0.485398
238.25,0.64054
238.5,0.490678
238.75,0.378205
239,0.523486
239.25,0.539436
239.5,0.414465
239.75,0.506256
240,0.45594
240.25,0.463888
240.5,0.512343
240.75,0.525881
241,0.438208
241.25,0.530025
