Time,mean_fraction_lambda_H
394,0.55518
394.25,0.266653
394.5,0.499312
394.75,0.374983
395,0.46153
395.25,0.545447
395.5,0.533308
395.75,0.399995
396,0.249993
396.25,0.0833301
396.5,0.230767
396.75,0.285709
397,0.249991
397.25,0.399998
397.5,0.499985
397.75,0.499985
398,0.499996
398.25,0.299999
398.5,0.499975
398.75,0.374987
399,0.333322
399.25,0.299977
399.5,0.307685
399.75,0.666656
400,0.583272
400.25,0
400.5,0.374995
400.75,0.285708
401,0.499987
401.25,0.333332
401.5,0.999988
401.75,0.538447
402,0.22222
402.25,0.399994
402.5,0.874917
402.75,0.124984
403,0.636361
403.25,0.555214
403.5,0.571423
403.75,0.39988
404,0.833314
404.25,0.459024
404.5,0.499996
404.75,0.571425
405,0.166658
405.25,0.285701
405.5,0.299993
405.75,0.333331
406,0.199997
406.25,0.499984
406.5,0.33333
406.75,0.333326
407,0.444439
407.25,0.299996
407.5,0.37499
407.75,0.666643
408,0.333303
408.25,0.249991
408.5,0.399998
408.75,0.222218
409,0.799977
409.25,0.0999907
409.5,0.249996
409.75,0.222211
410,0.428566
410.25,0.749978
410.5,0.333331
410.75,0.399997
411,0.285709
411.25,0.499992
411.5,0.249999
411.75,0.428569
