Time,cumulative_mean_fraction_lambda_C
203.5,0.125011
203.75,0.124963
204,0.124962
204.25,0.125008
204.5,0.124969
204.75,0.124946
205,0.12492
205.25,0.124872
205.5,0.124838
205.75,0.124843
206,0.124818
206.25,0.124797
206.5,0.124819
206.75,0.124787
207,0.12477
207.25,0.124791
207.5,0.124783
207.75,0.124729
208,0.124613
208.25,0.124556
208.5,0.124524
208.75,0.124449
209,0.124409
209.25,0.12432
209.5,0.124313
209.75,0.124313
210,0.124316
210.25,0.124262
210.5,0.124157
210.75,0.124127
211,0.124098
211.25,0.124034
211.5,0.12404
211.75,0.124038
212,0.124061
212.25,0.124082
212.5,0.124141
212.75,0.124159
213,0.124215
213.25,0.124317
213.5,0.124312
213.75,0.124353
214,0.124332
214.25,0.124282
214.5,0.12445
214.75,0.124451
215,0.124377
215.25,0.12432
215.5,0.124393
215.75,0.124429
216,0.124407
216.25,0.124317
216.5,0.124435
216.75,0.124477
217,0.124423
217.25,0.124382
217.5,0.124393
217.75,0.124456
218,0.124454
218.25,0.124406
218.5,0.124368
218.75,0.124344
219,0.124281
219.25,0.124262
219.5,0.124263
219.75,0.124211
220,0.124183
220.25,0.124114
220.5,0.124067
220.75,0.124084
221,0.124093
221.25,0.124037
221.5,0.124
221.75,0.123987
222,0.123963
222.25,0.123909
222.5,0.123912
222.75,0.123906
223,0.123992
223.25,0.123905
223.5,0.123915
223.75,0.123872
224,0.123856
224.25,0.123842
224.5,0.123884
224.75,0.123897
225,0.123829
225.25,0.123798
225.5,0.123794
225.75,0.123717
226,0.123776
226.25,0.123776
226.5,0.123794
226.75,0.123782
227,0.123702
227.25,0.123593
227.5,0.12359
227.75,0.12368
228,0.123602
228.25,0.123589
228.5,0.123561
228.75,0.123516
229,0.123465
229.25,0.123478
229.5,0.123456
229.75,0.123481
230,0.123452
230.25,0.1234
230.5,0.123451
230.75,0.123418
231,0.123451
231.25,0.123477
231.5,0.123482
231.75,0.123537
232,0.123548
232.25,0.123561
232.5,0.123499
232.75,0.123553
233,0.123561
233.25,0.123454
233.5,0.123448
