Time,normal_interactions,curtailed_interactions
310.25,659483,659361
310.5,659491,659362
310.75,659499,659370
311,659502,659370
311.25,659501,659370
311.5,659492,659362
311.75,659487,659360
312,659484,659358
312.25,659481,659357
312.5,659480,659355
312.75,659480,659360
313,659487,659366
313.25,659495,659370
313.5,659484,659362
313.75,659486,659361
314,659486,659362
314.25,659479,659356
314.5,659466,659344
314.75,659467,659345
315,659468,659347
315.25,659476,659357
315.5,659475,659357
315.75,659482,659362
316,659480,659358
316.25,659478,659356
316.5,659469,659346
316.75,659464,659338
317,659468,659342
317.25,659470,659344
317.5,659461,659339
317.75,659450,659329
318,659449,659334
318.25,659449,659336
318.5,659443,659327
318.75,659441,659321
319,659427,659305
319.25,659439,659317
319.5,659438,659318
319.75,659436,659318
320,659426,659310
320.25,659428,659314
320.5,659437,659323
320.75,659445,659327
321,659437,659318
321.25,659430,659313
321.5,659422,659306
321.75,659422,659305
322,659411,659296
322.25,659423,659301
322.5,659421,659302
322.75,659429,659313
323,659429,659309
323.25,659433,659310
323.5,659429,659305
323.75,659435,659308
324,659438,659310
324.25,659437,659307
324.5,659439,659312
324.75,659434,659309
325,659433,659306
325.25,659432,659301
325.5,659441,659311
325.75,659446,659317
326,659446,659316
326.25,659444,659312
326.5,659444,659307
326.75,659441,659305
327,659444,659310
327.25,659441,659312
327.5,659460,659325
327.75,659467,659334
328,659464,659336
328.25,659462,659333
328.5,659458,659328
328.75,659464,659331
329,659470,659335
329.25,659459,659330
329.5,659462,659337
329.75,659463,659334
330,659465,659338
330.25,659464,659339
330.5,659464,659344
330.75,659455,659338
331,659460,659345
331.25,659445,659331
331.5,659459,659344
331.75,659457,659344
332,659455,659339
332.25,659459,659342
332.5,659455,659337
332.75,659477,659355
333,659480,659357
333.25,659476,659354
333.5,659477,659356
333.75,659475,659359
334,659478,659362
334.25,659479,659362
334.5,659480,659362
334.75,659472,659354
335,659481,659364
335.25,659483,659365
335.5,659474,659358
335.75,659473,659355
336,659490,659367
336.25,659486,659363
336.5,659491,659368
336.75,659485,659365
337,659485,659362
337.25,659477,659355
337.5,659486,659362
337.75,659483,659356
338,659487,659360
338.25,659485,659357
338.5,659480,659353
338.75,659487,659360
339,659498,659366
339.25,659494,659363
339.5,659498,659371
339.75,659501,659378
340,659502,659383
340.25,659509,659386
340.5,659511,659384
340.75,659510,659381
341,659503,659379
341.25,659505,659383
341.5,659507,659386
341.75,659503,659384
342,659510,659392
342.25,659518,659399
342.5,659527,659408
342.75,659528,659409
343,659529,659411
343.25,659535,659417
343.5,659547,659430
343.75,659546,659429
344,659546,659430
344.25,659538,659422
344.5,659539,659426
344.75,659546,659431
345,659543,659430
345.25,659541,659432
345.5,659547,659438
345.75,659549,659442
346,659546,659442
346.25,659552,659448
346.5,659559,659456
346.75,659559,659457
347,659561,659459
347.25,659558,659461
347.5,659560,659465
347.75,659549,659456
348,659547,659458
348.25,659550,659464
348.5,659563,659474
348.75,659571,659481
349,659577,659488
349.25,659563,659476
349.5,659569,659480
349.75,659569,659483
350,659568,659484
350.25,659570,659485
350.5,659570,659487
350.75,659568,659483
351,659571,659487
351.25,659570,659487
351.5,659571,659488
351.75,659565,659486
352,659572,659492
352.25,659568,659493
352.5,659570,659499
352.75,659567,659501
353,659564,659494
353.25,659565,659494
353.5,659566,659491
353.75,659563,659491
354,659562,659491
354.25,659568,659498
354.5,659561,659491
354.75,659570,659498
355,659572,659498
355.25,659566,659494
355.5,659568,659495
355.75,659560,659487
356,659567,659494
356.25,659563,659489
356.5,659563,659491
356.75,659546,659474
357,659547,659476
357.25,659557,659482
357.5,659558,659486
357.75,659566,659490
358,659566,659489
358.25,659571,659489
358.5,659579,659494
358.75,659574,659491
359,659581,659499
359.25,659585,659501
359.5,659586,659501
359.75,659592,659505
360,659598,659507
360.25,659601,659510
360.5,659599,659507
360.75,659601,659509
361,659602,659515
361.25,659602,659516
361.5,659600,659514
361.75,659601,659516
362,659604,659517
362.25,659595,659508
362.5,659595,659510
362.75,659584,659496
363,659582,659497
363.25,659585,659503
363.5,659588,659508
363.75,659589,659509
364,659587,659508
364.25,659602,659521
364.5,659601,659520
364.75,659605,659527
365,659605,659532
365.25,659605,659530
365.5,659606,659532
365.75,659607,659534
366,659607,659533
366.25,659604,659530
366.5,659595,659521
366.75,659595,659520
367,659599,659526
367.25,659605,659531
367.5,659609,659535
367.75,659606,659533
368,659603,659528
368.25,659608,659532
368.5,659602,659527
368.75,659599,659527
369,659597,659527
369.25,659596,659525
369.5,659592,659519
369.75,659591,659518
370,659588,659514
370.25,659595,659523
370.5,659583,659513
370.75,659586,659515
371,659583,659516
371.25,659588,659522
371.5,659592,659526
371.75,659597,659528
372,659592,659524
372.25,659594,659527
372.5,659595,659525
372.75,659599,659526
373,659603,659527
373.25,659606,659528
373.5,659611,659533
373.75,659611,659533
374,659609,659531
374.25,659608,659529
374.5,659608,659527
374.75,659611,659531
375,659611,659534
375.25,659612,659534
375.5,659618,659539
375.75,659618,659539
376,659617,659539
376.25,659617,659540
376.5,659620,659544
376.75,659619,659549
377,659620,659549
377.25,659622,659551
377.5,659623,659552
377.75,659624,659552
378,659616,659546
378.25,659616,659545
378.5,659617,659548
378.75,659625,659554
379,659622,659551
379.25,659629,659558
379.5,659624,659556
379.75,659625,659557
380,659625,659557
380.25,659628,659563
380.5,659625,659561
380.75,659631,659566
381,659630,659565
381.25,659629,659563
381.5,659626,659560
381.75,659624,659559
382,659624,659562
382.25,659617,659556
382.5,659624,659565
382.75,659623,659564
383,659632,659573
383.25,659638,659577
383.5,659637,659578
383.75,659637,659579
384,659636,659576
384.25,659640,659579
384.5,659644,659582
384.75,659646,659587
385,659651,659589
385.25,659654,659593
385.5,659651,659592
385.75,659655,659601
386,659661,659606
386.25,659651,659600
386.5,659649,659597
386.75,659649,659598
387,659651,659600
387.25,659654,659602
387.5,659656,659601
387.75,659656,659599
388,659652,659597
388.25,659649,659596
388.5,659654,659599
388.75,659652,659598
389,659649,659597
389.25,659652,659600
389.5,659655,659602
389.75,659655,659602
390,659659,659606
390.25,659661,659610
390.5,659664,659609
390.75,659670,659614
391,659668,659612
391.25,659671,659614
391.5,659669,659613
391.75,659671,659615
392,659673,659616
392.25,659678,659623
392.5,659682,659627
392.75,659680,659627
393,659676,659623
393.25,659678,659623
393.5,659679,659625
393.75,659674,659621
394,659673,659621
394.25,659675,659622
394.5,659675,659623
394.75,659675,659625
395,659681,659634
395.25,659685,659637
395.5,659687,659638
395.75,659692,659644
396,659699,659650
396.25,659692,659642
396.5,659693,659644
396.75,659694,659647
397,659695,659652
397.25,659703,659659
397.5,659697,659654
397.75,659703,659657
398,659708,659660
398.25,659708,659661
398.5,659709,659662
398.75,659712,659664
399,659715,659669
399.25,659709,659665
399.5,659707,659663
399.75,659707,659664
400,659710,659668
400.25,659709,659669
400.5,659712,659671
400.75,659709,659670
401,659712,659672
401.25,659711,659670
401.5,659716,659674
401.75,659716,659675
402,659712,659672
402.25,659714,659675
402.5,659714,659678
402.75,659714,659679
403,659716,659683
403.25,659711,659680
403.5,659709,659676
403.75,659713,659678
404,659711,659678
404.25,659712,659679
404.5,659714,659683
404.75,659717,659686
405,659714,659681
405.25,659714,659680
405.5,659716,659684
405.75,659720,659687
406,659719,659686
406.25,659712,659680
406.5,659714,659682
406.75,659716,659685
407,659718,659687
407.25,659717,659686
407.5,659722,659690
407.75,659720,659688
408,659725,659692
408.25,659727,659694
408.5,659724,659692
408.75,659724,659690
409,659722,659688
409.25,659721,659686
409.5,659716,659680
409.75,659720,659683
410,659719,659681
410.25,659724,659687
410.5,659721,659685
410.75,659726,659692
411,659727,659692
411.25,659728,659693
411.5,659733,659697
411.75,659736,659702
412,659735,659703
412.25,659737,659704
412.5,659739,659705
412.75,659735,659701
413,659729,659695
413.25,659729,659695
413.5,659729,659697
413.75,659733,659700
414,659732,659698
414.25,659736,659702
414.5,659740,659705
414.75,659740,659708
415,659738,659705
415.25,659737,659705
415.5,659736,659702
415.75,659734,659701
416,659733,659701
416.25,659735,659702
416.5,659736,659700
416.75,659740,659704
417,659743,659708
417.25,659745,659710
417.5,659743,659709
417.75,659739,659705
418,659738,659705
418.25,659734,659702
418.5,659734,659703
418.75,659735,659704
419,659733,659701
419.25,659735,659705
419.5,659740,659709
419.75,659738,659708
420,659733,659703
420.25,659732,659702
420.5,659735,659703
420.75,659734,659704
421,659734,659703
421.25,659731,659701
421.5,659732,659704
421.75,659738,659710
422,659736,659708
422.25,659736,659709
422.5,659737,659710
422.75,659737,659711
423,659740,659714
423.25,659738,659713
423.5,659735,659712
423.75,659738,659716
424,659743,659721
424.25,659741,659719
424.5,659740,659719
