Time,cumulative_mean_fraction_lambda_W
554,0.504627
554.25,0.504614
554.5,0.504595
554.75,0.504601
555,0.504608
555.25,0.504601
555.5,0.50462
555.75,0.504633
556,0.504626
556.25,0.504645
556.5,0.504664
556.75,0.504657
557,0.504657
557.25,0.504651
557.5,0.504651
557.75,0.504651
558,0.504657
558.25,0.504638
558.5,0.504637
558.75,0.504631
559,0.504631
559.25,0.504631
559.5,0.504631
559.75,0.504624
560,0.504624
560.25,0.504624
560.5,0.504624
560.75,0.504624
561,0.504631
561.25,0.504624
561.5,0.504618
561.75,0.504624
562,0.504618
562.25,0.504611
562.5,0.504605
562.75,0.504605
563,0.504604
563.25,0.504598
563.5,0.504598
563.75,0.504598
564,0.504598
564.25,0.504604
564.5,0.504598
564.75,0.50461
565,0.504616
565.25,0.504629
565.5,0.504636
565.75,0.504635
566,0.504635
566.25,0.504642
566.5,0.504629
566.75,0.504629
567,0.504642
567.25,0.504635
567.5,0.504609
567.75,0.50459
568,0.50459
568.25,0.50459
568.5,0.504583
568.75,0.504577
569,0.504576
569.25,0.504576
569.5,0.504582
569.75,0.504576
570,0.504569
570.25,0.504569
570.5,0.504556
570.75,0.504556
571,0.504556
571.25,0.504556
571.5,0.504556
571.75,0.50455
572,0.50453
572.25,0.504504
572.5,0.504498
572.75,0.504485
573,0.504472
573.25,0.504472
573.5,0.504472
573.75,0.504478
574,0.504472
574.25,0.504484
574.5,0.504484
574.75,0.504484
575,0.504484
575.25,0.504484
575.5,0.504484
575.75,0.504484
576,0.504484
576.25,0.504477
576.5,0.504477
576.75,0.504484
577,0.504484
577.25,0.504471
577.5,0.504471
577.75,0.504477
578,0.504477
578.25,0.504477
578.5,0.50447
578.75,0.504464
579,0.504464
579.25,0.504457
579.5,0.504451
579.75,0.504451
580,0.504438
580.25,0.504438
580.5,0.504431
580.75,0.504431
581,0.504431
581.25,0.504444
581.5,0.504437
581.75,0.504431
582,0.504425
582.25,0.504425
582.5,0.504425
582.75,0.504425
583,0.504425
583.25,0.504425
583.5,0.504425
583.75,0.504425
584,0.504425
584.25,0.504425
584.5,0.504425
584.75,0.504425
585,0.504425
585.25,0.504425
585.5,0.504418
585.75,0.504418
586,0.504418
586.25,0.504418
586.5,0.504418
586.75,0.504418
587,0.504418
587.25,0.504418
587.5,0.504418
587.75,0.504418
588,0.504418
588.25,0.504418
588.5,0.504418
588.75,0.504418
589,0.504412
589.25,0.504411
589.5,0.504411
589.75,0.504411
590,0.504411
590.25,0.504411
590.5,0.504411
590.75,0.504411
591,0.504411
591.25,0.504411
591.5,0.504411
591.75,0.504411
592,0.504411
592.25,0.504411
592.5,0.504411
592.75,0.504411
593,0.504411
593.25,0.504411
593.5,0.504411
593.75,0.504411
594,0.504411
594.25,0.504411
594.5,0.504411
594.75,0.504411
595,0.504411
595.25,0.504411
595.5,0.504411
595.75,0.504418
596,0.504418
596.25,0.504424
596.5,0.504418
596.75,0.504424
597,0.504443
597.25,0.504449
597.5,0.504449
597.75,0.504449
598,0.504449
598.25,0.504449
598.5,0.504449
598.75,0.504449
599,0.504456
599.25,0.504456
599.5,0.504456
599.75,0.504456
