Time,infections_by_new_infectives
236.75,218.601
237,227.677
237.25,257.98
237.5,180.08
237.75,153.523
238,211.606
238.25,270.301
238.5,362.343
238.75,290.136
239,260.372
239.25,237.612
239.5,205.274
239.75,226.158
240,319.726
240.25,275.194
240.5,249.29
240.75,202.392
241,218.53
241.25,234.507
241.5,246.286
241.75,175.299
242,269.984
242.25,253.965
242.5,167.874
242.75,154.449
243,172.517
243.25,180.921
243.5,247.985
243.75,233.723
244,210.614
244.25,234.989
244.5,167.783
244.75,205.15
245,203.59
245.25,298.715
245.5,281.291
245.75,236.593
246,192.714
246.25,298.425
246.5,236.274
246.75,272.233
247,140.338
247.25,161.019
247.5,225.828
247.75,189.869
248,206.154
248.25,202.524
248.5,197.052
248.75,174.2
249,260.815
249.25,273.891
249.5,195.408
249.75,186.009
250,251.556
250.25,255.676
250.5,294.665
250.75,253.896
251,236.509
251.25,108.551
251.5,205.806
251.75,176.738
252,163.504
252.25,204.608
252.5,210.203
252.75,231.28
253,239.264
253.25,241.506
253.5,235.64
253.75,163.85
254,218.361
254.25,304.153
254.5,123.594
254.75,210.491
255,204.55
255.25,237.627
255.5,184.676
255.75,226.054
256,209.271
256.25,194.535
256.5,249.317
256.75,206.699
257,306.538
257.25,144.133
257.5,171.738
257.75,240.685
258,261.389
258.25,234.8
258.5,248.092
258.75,164.622
259,223.196
259.25,166.586
259.5,175.027
259.75,279.708
260,330.458
260.25,262.176
260.5,260.847
260.75,183.916
261,212.902
261.25,179.613
261.5,199.586
261.75,197.801
262,161.933
262.25,191.129
262.5,245.87
262.75,192.741
263,167.619
263.25,223.734
263.5,226.232
263.75,249.286
264,172.121
264.25,213.65
264.5,153.584
264.75,251.179
265,121.146
265.25,181.251
265.5,177.244
265.75,206.788
266,153.099
266.25,262.657
266.5,180.865
266.75,189.179
267,116.613
267.25,184.701
267.5,154.251
267.75,195.038
268,149.463
268.25,237.587
268.5,207.256
268.75,191.869
269,217.036
269.25,203.925
269.5,183.754
269.75,260.252
270,121.283
270.25,187.718
270.5,194.838
270.75,176.886
271,271.136
271.25,159.867
271.5,182.602
271.75,252.83
272,129.739
272.25,143.281
272.5,102.841
272.75,175.228
273,179.111
273.25,63.7942
273.5,199.258
273.75,168.143
274,222.996
274.25,234.937
274.5,175.644
274.75,174.114
275,146.373
275.25,165.275
275.5,87.6792
275.75,169.499
276,265.931
276.25,179.447
276.5,172.95
276.75,186.161
277,165.674
277.25,170.233
277.5,145.631
277.75,207.365
278,183.262
278.25,195.625
278.5,184.322
278.75,143.987
279,217.175
279.25,134.204
279.5,121.916
279.75,205.497
280,137.506
280.25,212.89
280.5,110.223
280.75,192.164
281,140.792
281.25,194.323
281.5,214.3
281.75,163.149
282,129.869
282.25,173.93
282.5,160.597
282.75,120.878
283,132.655
283.25,250.941
283.5,117.034
283.75,188.294
284,182.572
284.25,155.215
284.5,142.825
284.75,196.207
285,273.583
285.25,130.167
285.5,113.878
285.75,189.869
286,167.716
286.25,115.295
286.5,117.701
286.75,125.506
287,201.143
287.25,123.638
287.5,175.855
287.75,144.064
288,94.6546
288.25,136.196
288.5,122.603
288.75,148.96
289,107.64
289.25,113.983
289.5,185.907
289.75,166.863
290,122.671
290.25,126.283
290.5,266.331
290.75,220.873
291,146.916
291.25,129.61
291.5,177.626
291.75,149.965
292,196.608
292.25,100.474
292.5,76.41
292.75,88.2484
293,175.609
293.25,132.947
293.5,138.096
293.75,151.399
294,123.138
294.25,135.6
294.5,148.534
294.75,92.0003
295,135.166
295.25,142.815
295.5,169.083
295.75,126.009
296,159.277
296.25,155.518
296.5,103.211
296.75,85.761
297,130.962
297.25,155.811
297.5,137.107
297.75,145.794
298,146.497
298.25,106.96
298.5,124.416
298.75,70.5971
299,133.101
299.25,90.9372
299.5,131.164
299.75,107.995
300,196.239
300.25,197.792
300.5,169.391
300.75,163.614
301,74.8746
301.25,134.719
301.5,66.639
301.75,63.4889
302,107.34
