Time,cumulative_mean_fraction_lambda_H
227,0.364574
227.25,0.364656
227.5,0.364669
227.75,0.364695
228,0.364723
228.25,0.364811
228.5,0.364808
228.75,0.364872
229,0.36502
229.25,0.365067
229.5,0.3652
229.75,0.36528
230,0.365243
230.25,0.365308
230.5,0.36534
230.75,0.365424
231,0.365398
231.25,0.365285
231.5,0.365228
231.75,0.365327
232,0.365337
232.25,0.36546
232.5,0.365433
232.75,0.365343
233,0.365242
233.25,0.365405
233.5,0.365442
233.75,0.365437
234,0.365405
234.25,0.365401
234.5,0.365503
234.75,0.365604
235,0.365593
235.25,0.365652
235.5,0.365787
235.75,0.36586
236,0.36593
236.25,0.366009
236.5,0.366026
236.75,0.365969
237,0.365924
237.25,0.366015
237.5,0.365947
237.75,0.365983
238,0.365981
238.25,0.365888
238.5,0.365924
238.75,0.365922
239,0.365897
239.25,0.365784
239.5,0.365782
239.75,0.365697
240,0.365739
240.25,0.3658
240.5,0.365836
240.75,0.365849
241,0.365987
241.25,0.366035
241.5,0.366089
241.75,0.366114
242,0.366027
242.25,0.366097
242.5,0.366131
242.75,0.366207
243,0.366217
243.25,0.366178
243.5,0.366195
243.75,0.366247
244,0.366221
244.25,0.366247
244.5,0.366295
244.75,0.366319
245,0.366343
245.25,0.366341
245.5,0.366343
245.75,0.366361
246,0.366325
246.25,0.366383
246.5,0.366542
246.75,0.366599
247,0.36666
247.25,0.366676
247.5,0.366636
247.75,0.366601
248,0.36674
248.25,0.366763
248.5,0.366834
248.75,0.366958
249,0.366956
249.25,0.36677
249.5,0.366639
249.75,0.366653
250,0.366595
250.25,0.366597
250.5,0.366638
250.75,0.366734
251,0.366713
251.25,0.366635
251.5,0.366732
251.75,0.366739
252,0.366806
252.25,0.366867
252.5,0.366766
252.75,0.366803
253,0.366798
253.25,0.366832
253.5,0.366771
253.75,0.366716
254,0.366766
254.25,0.366779
254.5,0.366801
254.75,0.366895
255,0.366833
255.25,0.366853
255.5,0.366846
255.75,0.366957
256,0.366932
256.25,0.366979
256.5,0.36706
256.75,0.367025
257,0.366971
257.25,0.367022
257.5,0.367104
257.75,0.367205
258,0.367256
258.25,0.367353
258.5,0.367415
258.75,0.367495
259,0.367578
