Time,cumulative_mean_fraction_lambda_C
272.5,0.136874
272.75,0.136874
273,0.136874
273.25,0.136874
273.5,0.136874
273.75,0.136874
274,0.136874
274.25,0.136874
274.5,0.136874
274.75,0.136874
275,0.136874
275.25,0.136874
275.5,0.136874
275.75,0.136874
276,0.136874
276.25,0.136874
276.5,0.136874
276.75,0.136874
277,0.136874
277.25,0.136874
277.5,0.136874
277.75,0.136874
278,0.136874
278.25,0.136874
278.5,0.136874
278.75,0.136874
279,0.136874
279.25,0.136874
279.5,0.136874
279.75,0.136874
280,0.136874
280.25,0.136874
280.5,0.136874
280.75,0.136874
281,0.136874
281.25,0.136874
281.5,0.136874
281.75,0.136874
282,0.136874
282.25,0.136874
282.5,0.136874
282.75,0.136874
283,0.136874
283.25,0.136874
283.5,0.136874
283.75,0.136874
284,0.136874
284.25,0.136874
284.5,0.136874
284.75,0.136874
285,0.136874
285.25,0.136874
285.5,0.136874
285.75,0.136874
286,0.136874
286.25,0.136874
286.5,0.136874
286.75,0.136874
287,0.136874
287.25,0.136874
287.5,0.136874
287.75,0.136874
288,0.136874
288.25,0.136874
288.5,0.136874
288.75,0.136874
289,0.136874
289.25,0.136874
289.5,0.136874
289.75,0.136874
290,0.136874
290.25,0.136874
290.5,0.136874
290.75,0.136874
291,0.136874
291.25,0.136874
291.5,0.136874
291.75,0.136874
292,0.136874
292.25,0.136874
292.5,0.136874
292.75,0.136874
293,0.136874
293.25,0.136874
293.5,0.136874
293.75,0.136874
294,0.136874
294.25,0.136874
294.5,0.136874
294.75,0.136874
295,0.136874
295.25,0.136874
295.5,0.136874
295.75,0.136874
296,0.136874
296.25,0.136874
296.5,0.136874
296.75,0.136874
297,0.136874
297.25,0.136874
297.5,0.136874
297.75,0.136874
298,0.136874
298.25,0.136874
298.5,0.136874
298.75,0.136874
299,0.136874
299.25,0.136874
299.5,0.136874
299.75,0.136874
300,0.136874
300.25,0.136874
300.5,0.136874
300.75,0.136874
301,0.136874
301.25,0.136874
301.5,0.136874
301.75,0.136874
302,0.136874
302.25,0.136874
302.5,0.136874
302.75,0.136874
303,0.136874
303.25,0.136874
303.5,0.136874
303.75,0.136874
304,0.136874
304.25,0.136874
304.5,0.136874
304.75,0.136874
305,0.136874
305.25,0.136874
305.5,0.136874
305.75,0.136874
306,0.136874
306.25,0.136874
306.5,0.136874
306.75,0.136874
307,0.136874
307.25,0.136874
307.5,0.136874
307.75,0.136874
308,0.136874
308.25,0.136874
308.5,0.136874
308.75,0.136874
309,0.136874
309.25,0.136874
309.5,0.136874
309.75,0.136874
310,0.136874
310.25,0.136874
310.5,0.136874
310.75,0.136874
311,0.136874
311.25,0.136874
311.5,0.136874
311.75,0.136874
312,0.136874
312.25,0.136874
312.5,0.136874
312.75,0.136874
313,0.136874
313.25,0.136874
313.5,0.136874
313.75,0.136874
314,0.136874
314.25,0.136874
314.5,0.136874
314.75,0.136874
315,0.136874
315.25,0.136874
315.5,0.136874
315.75,0.136874
316,0.136874
316.25,0.136874
316.5,0.136874
316.75,0.136874
317,0.136874
317.25,0.136874
317.5,0.136874
317.75,0.136874
318,0.136874
318.25,0.136874
318.5,0.136874
318.75,0.136874
319,0.136874
319.25,0.136874
319.5,0.136874
319.75,0.136874
320,0.136874
320.25,0.136874
320.5,0.136874
320.75,0.136874
321,0.136874
321.25,0.136874
321.5,0.136874
321.75,0.136874
322,0.136874
322.25,0.136874
322.5,0.136874
322.75,0.136874
323,0.136874
323.25,0.136874
323.5,0.136874
323.75,0.136874
324,0.136874
324.25,0.136874
324.5,0.136874
324.75,0.136874
325,0.136874
325.25,0.136874
325.5,0.136874
325.75,0.136874
326,0.136874
326.25,0.136874
326.5,0.136874
326.75,0.136874
327,0.136874
327.25,0.136874
327.5,0.136874
327.75,0.136874
328,0.136874
328.25,0.136874
328.5,0.136874
328.75,0.136874
329,0.136874
329.25,0.136874
329.5,0.136874
329.75,0.136874
330,0.136874
330.25,0.136874
330.5,0.136874
330.75,0.136874
331,0.136874
331.25,0.136874
331.5,0.136874
331.75,0.136874
332,0.136874
332.25,0.136874
332.5,0.136874
332.75,0.136874
333,0.136874
333.25,0.136874
333.5,0.136874
333.75,0.136874
334,0.136874
334.25,0.136874
334.5,0.136874
334.75,0.136874
335,0.136874
335.25,0.136874
335.5,0.136874
335.75,0.136874
336,0.136874
336.25,0.136874
336.5,0.136874
336.75,0.136874
337,0.136874
337.25,0.136874
337.5,0.136874
337.75,0.136874
338,0.136874
338.25,0.136874
338.5,0.136874
338.75,0.136874
339,0.136874
339.25,0.136874
339.5,0.136874
339.75,0.136874
340,0.136874
340.25,0.136874
340.5,0.136874
340.75,0.136874
341,0.136874
341.25,0.136874
341.5,0.136874
341.75,0.136874
342,0.136874
342.25,0.136874
342.5,0.136874
342.75,0.136874
343,0.136874
343.25,0.136874
343.5,0.136874
343.75,0.136874
344,0.136874
344.25,0.136874
344.5,0.136874
344.75,0.136874
345,0.136874
345.25,0.136874
345.5,0.136874
345.75,0.136874
346,0.136874
346.25,0.136874
346.5,0.136874
346.75,0.136874
347,0.136874
347.25,0.136874
347.5,0.136874
347.75,0.136874
348,0.136874
348.25,0.136874
348.5,0.136874
348.75,0.136874
349,0.136874
349.25,0.136874
349.5,0.136874
349.75,0.136874
350,0.136874
350.25,0.136874
350.5,0.136874
350.75,0.136874
351,0.136874
351.25,0.136874
351.5,0.136874
351.75,0.136874
352,0.136874
352.25,0.136874
352.5,0.136874
352.75,0.136874
353,0.136874
353.25,0.136874
353.5,0.136874
353.75,0.136874
354,0.136874
354.25,0.136874
354.5,0.136874
354.75,0.136874
355,0.136874
355.25,0.136874
355.5,0.136874
355.75,0.136874
356,0.136874
356.25,0.136874
356.5,0.136874
356.75,0.136874
357,0.136874
357.25,0.136874
357.5,0.136874
357.75,0.136874
358,0.136874
358.25,0.136874
358.5,0.136874
358.75,0.136874
359,0.136874
359.25,0.136874
359.5,0.136874
359.75,0.136874
360,0.136874
360.25,0.136874
360.5,0.136874
360.75,0.136874
361,0.136874
361.25,0.136874
361.5,0.136874
361.75,0.136874
362,0.136874
362.25,0.136874
362.5,0.136874
362.75,0.136874
363,0.136874
363.25,0.136874
363.5,0.136874
363.75,0.136874
364,0.136874
364.25,0.136874
364.5,0.136874
364.75,0.136874
365,0.136874
365.25,0.136874
365.5,0.136874
365.75,0.136874
366,0.136874
366.25,0.136874
366.5,0.136874
366.75,0.136874
367,0.136874
367.25,0.136874
367.5,0.136874
367.75,0.136874
368,0.136874
368.25,0.136874
368.5,0.136874
368.75,0.136874
369,0.136874
369.25,0.136874
369.5,0.136874
369.75,0.136874
370,0.136874
370.25,0.136874
370.5,0.136874
370.75,0.136874
371,0.136874
371.25,0.136874
371.5,0.136874
371.75,0.136874
372,0.136874
372.25,0.136874
372.5,0.136874
372.75,0.136874
373,0.136874
373.25,0.136874
373.5,0.136874
373.75,0.136874
374,0.136874
374.25,0.136874
374.5,0.136874
374.75,0.136874
375,0.136874
375.25,0.136874
375.5,0.136874
375.75,0.136874
376,0.136874
376.25,0.136874
376.5,0.136874
376.75,0.136874
377,0.136874
377.25,0.136874
377.5,0.136874
377.75,0.136874
378,0.136874
378.25,0.136874
