Time,cumulative_mean_fraction_lambda_H
293.75,0.372026
294,0.372026
294.25,0.372026
294.5,0.372026
294.75,0.372026
295,0.372026
295.25,0.372026
295.5,0.372026
295.75,0.372026
296,0.372026
296.25,0.372026
296.5,0.372026
296.75,0.372026
297,0.372026
297.25,0.372026
297.5,0.372026
297.75,0.372026
298,0.372026
298.25,0.372026
298.5,0.372026
298.75,0.372026
299,0.372026
299.25,0.372026
299.5,0.372026
299.75,0.372026
300,0.372026
300.25,0.372026
300.5,0.372026
300.75,0.372026
301,0.372026
301.25,0.372026
301.5,0.372026
301.75,0.372026
302,0.372026
302.25,0.372026
302.5,0.372026
302.75,0.372026
303,0.372026
303.25,0.372026
303.5,0.372026
303.75,0.372026
304,0.372026
304.25,0.372026
304.5,0.372026
304.75,0.372026
305,0.372026
305.25,0.372026
305.5,0.372026
305.75,0.372026
306,0.372026
306.25,0.372026
306.5,0.372026
306.75,0.372026
307,0.372026
307.25,0.372026
307.5,0.372026
307.75,0.372026
308,0.372026
308.25,0.372026
308.5,0.372026
308.75,0.372026
309,0.372026
309.25,0.372026
309.5,0.372026
309.75,0.372026
310,0.372026
310.25,0.372026
310.5,0.372026
310.75,0.372026
311,0.372026
311.25,0.372026
311.5,0.372026
311.75,0.372026
312,0.372026
312.25,0.372026
312.5,0.372026
312.75,0.372026
313,0.372026
313.25,0.372026
313.5,0.372026
313.75,0.372026
314,0.372026
314.25,0.372026
314.5,0.372026
314.75,0.372026
315,0.372026
315.25,0.372026
315.5,0.372026
315.75,0.372026
316,0.372026
316.25,0.372026
316.5,0.372026
316.75,0.372026
317,0.372026
317.25,0.372026
317.5,0.372026
317.75,0.372026
318,0.372026
318.25,0.372026
318.5,0.372026
318.75,0.372026
319,0.372026
319.25,0.372026
319.5,0.372026
319.75,0.372026
320,0.372026
320.25,0.372026
320.5,0.372026
320.75,0.372026
321,0.372026
321.25,0.372026
321.5,0.372026
321.75,0.372026
322,0.372026
322.25,0.372026
322.5,0.372026
322.75,0.372026
323,0.372026
323.25,0.372026
323.5,0.372026
323.75,0.372026
324,0.372026
324.25,0.372026
324.5,0.372026
324.75,0.372026
325,0.372026
325.25,0.372026
325.5,0.372026
325.75,0.372026
326,0.372026
326.25,0.372026
326.5,0.372026
326.75,0.372026
327,0.372026
327.25,0.372026
327.5,0.372026
327.75,0.372026
328,0.372026
328.25,0.372026
328.5,0.372026
328.75,0.372026
329,0.372026
329.25,0.372026
329.5,0.372026
329.75,0.372026
330,0.372026
330.25,0.372026
330.5,0.372026
330.75,0.372026
331,0.372026
331.25,0.372026
331.5,0.372026
331.75,0.372026
332,0.372026
332.25,0.372026
332.5,0.372026
332.75,0.372026
333,0.372026
333.25,0.372026
333.5,0.372026
333.75,0.372026
334,0.372026
334.25,0.372026
334.5,0.372026
334.75,0.372026
335,0.372026
335.25,0.372026
335.5,0.372026
335.75,0.372026
336,0.372026
336.25,0.372026
336.5,0.372026
336.75,0.372026
337,0.372026
337.25,0.372026
337.5,0.372026
337.75,0.372026
338,0.372026
338.25,0.372026
338.5,0.372026
338.75,0.372026
339,0.372026
339.25,0.372026
339.5,0.372026
339.75,0.372026
340,0.372026
340.25,0.372026
340.5,0.372026
340.75,0.372026
341,0.372026
341.25,0.372026
341.5,0.372026
341.75,0.372026
342,0.372026
342.25,0.372026
342.5,0.372026
342.75,0.372026
343,0.372026
343.25,0.372026
343.5,0.372026
343.75,0.372026
344,0.372026
344.25,0.372026
344.5,0.372026
344.75,0.372026
345,0.372026
345.25,0.372026
345.5,0.372026
345.75,0.372026
346,0.372026
346.25,0.372026
346.5,0.372026
346.75,0.372026
347,0.372026
347.25,0.372026
347.5,0.372026
347.75,0.372026
348,0.372026
348.25,0.372026
348.5,0.372026
348.75,0.372026
349,0.372026
349.25,0.372026
349.5,0.372026
349.75,0.372026
350,0.372026
350.25,0.372026
350.5,0.372026
350.75,0.372026
351,0.372026
351.25,0.372026
351.5,0.372026
351.75,0.372026
352,0.372026
352.25,0.372026
352.5,0.372026
352.75,0.372026
353,0.372026
353.25,0.372026
353.5,0.372026
353.75,0.372026
354,0.372026
354.25,0.372026
354.5,0.372026
354.75,0.372026
355,0.372026
355.25,0.372026
355.5,0.372026
355.75,0.372026
356,0.372026
356.25,0.372026
356.5,0.372026
356.75,0.372026
357,0.372026
357.25,0.372026
357.5,0.372026
357.75,0.372026
358,0.372026
358.25,0.372026
358.5,0.372026
358.75,0.372026
359,0.372026
359.25,0.372026
359.5,0.372026
359.75,0.372026
360,0.372026
360.25,0.372026
360.5,0.372026
360.75,0.372026
361,0.372026
361.25,0.372026
361.5,0.372026
361.75,0.372026
362,0.372026
362.25,0.372026
362.5,0.372026
362.75,0.372026
363,0.372026
363.25,0.372026
363.5,0.372026
363.75,0.372026
364,0.372026
364.25,0.372026
364.5,0.372026
364.75,0.372026
365,0.372026
365.25,0.372026
365.5,0.372026
365.75,0.372026
366,0.372026
366.25,0.372026
366.5,0.372026
366.75,0.372026
367,0.372026
367.25,0.372026
367.5,0.372026
367.75,0.372026
368,0.372026
368.25,0.372026
368.5,0.372026
368.75,0.372026
369,0.372026
369.25,0.372026
369.5,0.372026
369.75,0.372026
370,0.372026
370.25,0.372026
370.5,0.372026
370.75,0.372026
371,0.372026
371.25,0.372026
371.5,0.372026
371.75,0.372026
372,0.372026
372.25,0.372026
372.5,0.372026
372.75,0.372026
373,0.372026
373.25,0.372026
373.5,0.372026
373.75,0.372026
374,0.372026
374.25,0.372026
374.5,0.372026
374.75,0.372026
375,0.372026
375.25,0.372026
375.5,0.372026
375.75,0.372026
376,0.372026
376.25,0.372026
376.5,0.372026
376.75,0.372026
377,0.372026
377.25,0.372026
377.5,0.372026
377.75,0.372026
378,0.372026
378.25,0.372026
378.5,0.372026
378.75,0.372026
379,0.372026
379.25,0.372026
379.5,0.372026
379.75,0.372026
380,0.372026
380.25,0.372026
380.5,0.372026
380.75,0.372026
381,0.372026
381.25,0.372026
381.5,0.372026
381.75,0.372026
382,0.372026
382.25,0.372026
382.5,0.372026
382.75,0.372026
383,0.372026
383.25,0.372026
383.5,0.372026
383.75,0.372026
384,0.372026
384.25,0.372026
384.5,0.372026
384.75,0.372026
385,0.372026
385.25,0.372026
385.5,0.372026
385.75,0.372026
386,0.372026
386.25,0.372026
386.5,0.372026
386.75,0.372026
387,0.372026
387.25,0.372026
387.5,0.372026
387.75,0.372026
388,0.372026
388.25,0.372026
388.5,0.372026
388.75,0.372026
389,0.372026
389.25,0.372026
389.5,0.372026
389.75,0.372026
390,0.372026
390.25,0.372026
390.5,0.372026
390.75,0.372026
391,0.372026
391.25,0.372026
391.5,0.372026
391.75,0.372026
392,0.372026
392.25,0.372026
392.5,0.372026
392.75,0.372026
393,0.372026
393.25,0.372026
393.5,0.372026
393.75,0.372026
394,0.372026
394.25,0.372026
394.5,0.372026
394.75,0.372026
395,0.372026
395.25,0.372026
395.5,0.372026
395.75,0.372026
396,0.372026
396.25,0.372026
396.5,0.372026
396.75,0.372026
397,0.372026
397.25,0.372026
397.5,0.372026
397.75,0.372026
398,0.372026
398.25,0.372026
398.5,0.372026
398.75,0.372026
399,0.372026
399.25,0.372026
399.5,0.372026
399.75,0.372026
400,0.372026
400.25,0.372026
400.5,0.372026
400.75,0.372026
401,0.372026
401.25,0.372026
401.5,0.372026
401.75,0.372026
402,0.372026
402.25,0.372026
402.5,0.372026
402.75,0.372026
403,0.372026
403.25,0.372026
403.5,0.372026
403.75,0.372026
404,0.372026
404.25,0.372026
404.5,0.372026
404.75,0.372026
405,0.372026
405.25,0.372026
405.5,0.372026
405.75,0.372026
406,0.372026
406.25,0.372026
406.5,0.372026
406.75,0.372026
407,0.372026
407.25,0.372026
407.5,0.372026
407.75,0.372026
408,0.372026
408.25,0.372026
408.5,0.372026
408.75,0.372026
409,0.372026
409.25,0.372026
409.5,0.372026
