Time,normal_interactions,curtailed_interactions
205.5,659953,447688
205.75,659953,447688
206,659953,447688
206.25,659953,447688
206.5,659953,447688
206.75,659953,447688
207,659953,447688
207.25,659953,447688
207.5,659953,447688
207.75,659953,447688
208,659953,447688
208.25,659953,447688
208.5,659953,447688
208.75,659953,447688
209,659953,447688
209.25,659953,447688
209.5,659953,447688
209.75,659953,447688
210,659953,447688
210.25,659953,447688
210.5,659953,447688
210.75,659953,447688
211,659953,447688
211.25,659953,447688
211.5,659953,447688
211.75,659953,447688
212,659953,447688
212.25,659953,447688
212.5,659953,447688
212.75,659953,447688
213,659953,447688
213.25,659953,447688
213.5,659953,447688
213.75,659953,447688
214,659953,447688
214.25,659953,447688
214.5,659953,447688
214.75,659953,447688
215,659953,447688
215.25,659953,447688
215.5,659953,447688
215.75,659953,447688
216,659953,447688
216.25,659953,447688
216.5,659953,447688
216.75,659953,447688
217,659953,447688
217.25,659953,447688
217.5,659953,447688
217.75,659953,447688
218,659953,447688
218.25,659953,447688
218.5,659953,447688
218.75,659953,447688
219,659953,447688
219.25,659953,447688
219.5,659953,447688
219.75,659953,447688
220,659953,447688
220.25,659953,447688
220.5,659953,447688
220.75,659953,447688
221,659953,447688
221.25,659953,447688
221.5,659953,447688
221.75,659953,447688
222,659953,447688
222.25,659953,447688
222.5,659953,447688
222.75,659953,447688
223,659953,447688
223.25,659953,447688
223.5,659953,447688
223.75,659953,447688
224,659953,447688
224.25,659953,447688
224.5,659953,447688
224.75,659953,447688
225,659953,447688
225.25,659953,447688
225.5,659953,447688
225.75,659953,447688
226,659953,447688
226.25,659953,447688
226.5,659953,447688
226.75,659953,447688
227,659953,447688
227.25,659953,447688
227.5,659953,447688
227.75,659953,447688
228,659953,447688
228.25,659953,447688
228.5,659953,447688
228.75,659953,447688
229,659953,447688
229.25,659953,447688
229.5,659953,447688
229.75,659953,447688
230,659953,447688
230.25,659953,447688
230.5,659953,447688
230.75,659953,447688
231,659953,447688
231.25,659953,447688
231.5,659953,447688
231.75,659953,447688
232,659953,447688
232.25,659953,447688
232.5,659953,447688
232.75,659953,447688
233,659953,447688
233.25,659953,447688
233.5,659953,447688
233.75,659953,447688
234,659953,447688
234.25,659953,447688
234.5,659953,447688
234.75,659953,447688
235,659953,447688
235.25,659953,447688
235.5,659953,447688
235.75,659953,447688
236,659953,447688
236.25,659953,447688
236.5,659953,447688
236.75,659953,447688
237,659953,447688
237.25,659953,447688
237.5,659953,447688
237.75,659953,447688
238,659953,447688
238.25,659953,447688
238.5,659953,447688
238.75,659953,447688
239,659953,447688
239.25,659953,447688
239.5,659953,447688
239.75,659953,447688
240,659953,447688
240.25,659953,447688
240.5,659953,447688
240.75,659953,447688
241,659953,447688
241.25,659953,447688
241.5,659953,447688
241.75,659953,447688
242,659953,447688
242.25,659953,447688
242.5,659953,447688
242.75,659953,447688
243,659953,447688
243.25,659953,447688
243.5,659953,447688
243.75,659953,447688
244,659953,447688
244.25,659953,447688
244.5,659953,447688
244.75,659953,447688
245,659953,447688
245.25,659953,447688
245.5,659953,447688
245.75,659953,447688
246,659953,447688
246.25,659953,447688
246.5,659953,447688
246.75,659953,447688
247,659953,447688
247.25,659953,447688
247.5,659953,447688
247.75,659953,447688
248,659953,447688
248.25,659953,447688
248.5,659953,447688
248.75,659953,447688
249,659953,447688
249.25,659953,447688
249.5,659953,447688
249.75,659953,447688
250,659953,447688
250.25,659953,447688
250.5,659953,447688
250.75,659953,447688
251,659953,447688
251.25,659953,447688
251.5,659953,447688
251.75,659953,447688
252,659953,447688
252.25,659953,447688
252.5,659953,447688
252.75,659953,447688
253,659953,447688
253.25,659953,447688
253.5,659953,447688
253.75,659953,447688
254,659953,447688
254.25,659953,447688
254.5,659953,447688
254.75,659953,447688
255,659953,447688
255.25,659953,447688
255.5,659953,447688
255.75,659953,447688
256,659953,447688
256.25,659953,447688
256.5,659953,447688
256.75,659953,447688
257,659953,447688
257.25,659953,447688
257.5,659953,447688
257.75,659953,447688
258,659953,447688
258.25,659953,447688
258.5,659953,447688
258.75,659953,447688
259,659953,447688
259.25,659953,447688
259.5,659953,447688
259.75,659953,447688
260,659953,447688
260.25,659953,447688
260.5,659953,447688
260.75,659953,447688
261,659953,447688
261.25,659953,447688
261.5,659953,447688
261.75,659953,447688
262,659953,447688
262.25,659953,447688
262.5,659953,447688
262.75,659953,447688
263,659953,447688
263.25,659953,447688
263.5,659953,447688
263.75,659953,447688
264,659953,447688
264.25,659953,447688
264.5,659953,447688
264.75,659953,447688
265,659953,447688
265.25,659953,447688
265.5,659953,447688
265.75,659953,447688
266,659953,447688
266.25,659953,447688
266.5,659953,447688
266.75,659953,447688
267,659953,447688
267.25,659953,447688
