Time,normal_interactions,curtailed_interactions
210,655442,655442
210.25,655490,655490
210.5,655541,655541
210.75,655576,655576
211,655616,655616
211.25,655654,655654
211.5,655679,655679
211.75,655723,655723
212,655742,655742
212.25,655768,655768
212.5,655815,655815
212.75,655858,655858
213,655894,655894
213.25,655945,655945
213.5,655982,655982
213.75,656032,656032
214,656066,656066
214.25,656101,656101
214.5,656140,656140
214.75,656156,656156
215,656178,656178
215.25,656186,656186
215.5,656201,656201
215.75,656234,656234
216,656262,656262
216.25,656304,656304
216.5,656347,656347
216.75,656369,656369
217,656394,656394
217.25,656409,656409
217.5,656423,656423
217.75,656466,656466
218,656491,656491
218.25,656509,656509
218.5,656519,656519
218.75,656568,656568
219,656587,656587
219.25,656647,656647
219.5,656670,656670
219.75,656676,656676
220,656696,656696
220.25,656695,656695
220.5,656737,656737
220.75,656755,656755
221,656781,656781
221.25,656807,656807
221.5,656809,656809
221.75,656841,656841
222,656867,656867
222.25,656892,656892
222.5,656892,656892
222.75,656921,656921
223,656950,656950
223.25,656963,656963
223.5,657001,657001
223.75,656994,656994
224,657021,657021
224.25,657041,657041
224.5,657076,657076
224.75,657101,657101
225,657121,657121
225.25,657154,657154
225.5,657187,657187
225.75,657179,657179
226,657219,657219
226.25,657248,657248
226.5,657279,657279
226.75,657298,657298
227,657316,657316
227.25,657324,657324
227.5,657340,657340
227.75,657351,657351
228,657375,657375
228.25,657396,657396
228.5,657392,657392
228.75,657407,657407
229,657431,657431
229.25,657450,657450
229.5,657456,657456
229.75,657485,657485
230,657503,657503
230.25,657523,657523
230.5,657533,657533
230.75,657546,657546
231,657558,657558
231.25,657572,657572
231.5,657589,657589
231.75,657602,657602
232,657622,657622
232.25,657643,657643
232.5,657656,657656
232.75,657676,657676
233,657680,657680
233.25,657681,657681
233.5,657682,657682
233.75,657705,657705
234,657720,657720
234.25,657743,657743
234.5,657762,657762
234.75,657776,657776
235,657784,657784
235.25,657819,657819
235.5,657823,657823
235.75,657822,657822
236,657825,657825
236.25,657829,657829
236.5,657846,657846
236.75,657854,657854
237,657866,657866
237.25,657865,657865
237.5,657877,657877
237.75,657887,657887
238,657902,657902
238.25,657917,657917
238.5,657926,657926
238.75,657936,657936
239,657949,657949
239.25,657970,657970
239.5,657970,657970
239.75,657989,657989
240,657993,657993
240.25,658000,658000
240.5,658009,658009
240.75,658025,658025
241,658023,658023
241.25,658030,658030
241.5,658049,658049
241.75,658066,658066
242,658086,658086
242.25,658089,658089
242.5,658091,658091
242.75,658099,658099
243,658114,658114
243.25,658118,658118
243.5,658134,658134
243.75,658135,658135
244,658144,658144
244.25,658158,658158
244.5,658173,658173
244.75,658176,658176
245,658194,658194
245.25,658190,658190
245.5,658209,658209
245.75,658209,658209
246,658221,658221
246.25,658224,658224
246.5,658234,658234
246.75,658232,658232
247,658236,658236
247.25,658239,658239
247.5,658246,658246
247.75,658257,658257
248,658263,658263
248.25,658266,658266
248.5,658274,658274
248.75,658277,658277
249,658277,658277
249.25,658282,658282
249.5,658284,658284
249.75,658288,658288
250,658299,658299
250.25,658300,658300
250.5,658310,658310
250.75,658310,658310
251,658315,658315
251.25,658328,658328
251.5,658335,658335
251.75,658330,658330
252,658327,658327
252.25,658340,658340
252.5,658343,658343
252.75,658347,658347
253,658347,658347
253.25,658358,658358
253.5,658370,658370
253.75,658371,658371
254,658372,658372
254.25,658377,658377
254.5,658388,658388
254.75,658386,658386
255,658389,658389
255.25,658394,658394
255.5,658388,658388
255.75,658404,658404
256,658415,658415
256.25,658409,658409
256.5,658413,658413
256.75,658419,658419
257,658421,658421
257.25,658423,658423
257.5,658424,658424
257.75,658438,658438
258,658441,658441
258.25,658450,658450
258.5,658453,658453
258.75,658463,658463
259,658461,658461
259.25,658467,658467
259.5,658475,658475
259.75,658478,658478
260,658478,658478
260.25,658475,658475
260.5,658479,658479
260.75,658487,658487
261,658485,658485
261.25,658488,658488
261.5,658484,658484
261.75,658489,658489
262,658494,658494
262.25,658496,658496
262.5,658505,658505
262.75,658509,658509
263,658506,658506
263.25,658514,658514
263.5,658514,658514
263.75,658522,658522
264,658521,658521
264.25,658530,658530
264.5,658536,658536
264.75,658533,658533
265,658542,658542
265.25,658546,658546
265.5,658550,658550
265.75,658554,658554
266,658556,658556
266.25,658558,658558
266.5,658562,658562
266.75,658559,658559
267,658563,658563
267.25,658565,658565
267.5,658576,658576
267.75,658583,658583
268,658582,658582
268.25,658587,658587
268.5,658592,658592
268.75,658598,658598
269,658605,658605
269.25,658609,658609
269.5,658612,658612
269.75,658608,658608
270,658611,658611
270.25,658616,658616
270.5,658624,658624
270.75,658626,658626
271,658626,658626
271.25,658627,658627
271.5,658626,658626
271.75,658634,658634
272,658638,658638
272.25,658638,658638
272.5,658641,658641
272.75,658646,658646
273,658646,658646
273.25,658646,658646
273.5,658646,658646
273.75,658651,658651
274,658651,658651
274.25,658653,658653
274.5,658657,658657
274.75,658658,658658
275,658659,658659
275.25,658654,658654
275.5,658655,658655
275.75,658654,658654
276,658660,658660
276.25,658663,658663
276.5,658662,658662
276.75,658659,658659
277,658658,658658
277.25,658662,658662
277.5,658662,658662
277.75,658662,658662
278,658663,658663
278.25,658665,658665
278.5,658662,658662
278.75,658662,658662
279,658659,658659
279.25,658661,658661
279.5,658661,658661
279.75,658664,658664
280,658666,658666
280.25,658667,658667
280.5,658670,658670
280.75,658674,658674
281,658675,658675
281.25,658674,658674
281.5,658673,658673
281.75,658674,658674
282,658674,658674
282.25,658675,658675
282.5,658675,658675
282.75,658677,658677
283,658674,658674
283.25,658675,658675
283.5,658676,658676
283.75,658676,658676
284,658677,658677
284.25,658679,658679
284.5,658679,658679
284.75,658684,658684
285,658682,658682
285.25,658682,658682
285.5,658683,658683
285.75,658683,658683
286,658684,658684
286.25,658686,658686
286.5,658682,658682
286.75,658680,658680
287,658686,658686
287.25,658690,658690
287.5,658692,658692
287.75,658692,658692
288,658694,658694
288.25,658692,658692
288.5,658691,658691
288.75,658690,658690
289,658691,658691
289.25,658695,658695
289.5,658695,658695
289.75,658699,658699
290,658701,658701
290.25,658703,658703
290.5,658703,658703
290.75,658702,658702
291,658705,658705
291.25,658705,658705
291.5,658706,658706
291.75,658707,658707
292,658706,658706
292.25,658706,658706
292.5,658708,658708
292.75,658704,658704
293,658705,658705
293.25,658705,658705
293.5,658705,658705
293.75,658706,658706
294,658706,658706
294.25,658705,658705
294.5,658705,658705
294.75,658706,658706
295,658705,658705
295.25,658704,658704
295.5,658705,658705
295.75,658705,658705
296,658705,658705
296.25,658705,658705
296.5,658705,658705
296.75,658707,658707
297,658708,658708
297.25,658710,658710
297.5,658710,658710
297.75,658709,658709
298,658710,658710
298.25,658711,658711
298.5,658712,658712
298.75,658711,658711
299,658712,658712
299.25,658712,658712
299.5,658713,658713
299.75,658712,658712
300,658714,658714
300.25,658714,658714
300.5,658717,658717
300.75,658715,658715
301,658719,658719
301.25,658719,658719
301.5,658720,658720
301.75,658719,658719
302,658720,658720
302.25,658719,658719
302.5,658720,658720
302.75,658721,658721
303,658721,658721
303.25,658720,658720
303.5,658721,658721
303.75,658722,658722
304,658721,658721
304.25,658723,658723
304.5,658722,658722
304.75,658723,658723
305,658723,658723
305.25,658724,658724
305.5,658724,658724
305.75,658724,658724
306,658724,658724
306.25,658724,658724
306.5,658722,658722
306.75,658723,658723
307,658723,658723
307.25,658724,658724
307.5,658724,658724
307.75,658723,658723
308,658724,658724
308.25,658724,658724
308.5,658724,658724
308.75,658725,658725
309,658723,658723
309.25,658723,658723
309.5,658724,658724
309.75,658725,658725
310,658725,658725
310.25,658725,658725
310.5,658724,658724
310.75,658724,658724
311,658725,658725
311.25,658724,658724
311.5,658725,658725
311.75,658727,658727
312,658727,658727
312.25,658726,658726
312.5,658726,658726
312.75,658728,658728
313,658727,658727
313.25,658727,658727
313.5,658726,658726
313.75,658726,658726
314,658726,658726
314.25,658726,658726
314.5,658725,658725
314.75,658725,658725
315,658728,658728
315.25,658728,658728
315.5,658728,658728
315.75,658729,658729
316,658729,658729
316.25,658729,658729
316.5,658728,658728
316.75,658729,658729
317,658729,658729
317.25,658729,658729
317.5,658728,658728
317.75,658732,658732
318,658733,658733
318.25,658734,658734
318.5,658733,658733
318.75,658733,658733
319,658734,658734
319.25,658734,658734
319.5,658734,658734
319.75,658734,658734
320,658734,658734
320.25,658734,658734
320.5,658735,658735
320.75,658735,658735
321,658735,658735
321.25,658735,658735
321.5,658734,658734
321.75,658734,658734
322,658734,658734
322.25,658733,658733
322.5,658733,658733
322.75,658733,658733
323,658733,658733
323.25,658733,658733
323.5,658734,658734
323.75,658734,658734
324,658734,658734
324.25,658734,658734
324.5,658735,658735
324.75,658735,658735
325,658735,658735
325.25,658735,658735
325.5,658734,658734
325.75,658734,658734
326,658735,658735
326.25,658735,658735
326.5,658734,658734
326.75,658734,658734
327,658734,658734
327.25,658734,658734
327.5,658734,658734
327.75,658735,658735
328,658735,658735
328.25,658735,658735
328.5,658735,658735
328.75,658734,658734
329,658734,658734
329.25,658734,658734
329.5,658734,658734
329.75,658734,658734
330,658734,658734
330.25,658735,658735
330.5,658736,658736
330.75,658736,658736
331,658736,658736
331.25,658736,658736
331.5,658736,658736
331.75,658736,658736
332,658736,658736
332.25,658736,658736
332.5,658736,658736
332.75,658736,658736
333,658736,658736
333.25,658736,658736
333.5,658737,658737
333.75,658737,658737
334,658737,658737
334.25,658737,658737
334.5,658737,658737
334.75,658737,658737
335,658737,658737
335.25,658737,658737
335.5,658737,658737
335.75,658737,658737
336,658737,658737
336.25,658737,658737
336.5,658737,658737
336.75,658737,658737
337,658737,658737
337.25,658737,658737
337.5,658737,658737
337.75,658737,658737
338,658737,658737
338.25,658737,658737
338.5,658736,658736
338.75,658736,658736
339,658737,658737
339.25,658737,658737
339.5,658737,658737
339.75,658737,658737
340,658736,658736
340.25,658737,658737
340.5,658737,658737
340.75,658737,658737
341,658737,658737
341.25,658737,658737
341.5,658737,658737
341.75,658737,658737
342,658737,658737
342.25,658737,658737
342.5,658737,658737
342.75,658737,658737
343,658737,658737
343.25,658737,658737
343.5,658737,658737
343.75,658737,658737
344,658737,658737
344.25,658737,658737
344.5,658737,658737
344.75,658737,658737
345,658737,658737
345.25,658737,658737
345.5,658737,658737
345.75,658737,658737
346,658737,658737
346.25,658737,658737
346.5,658737,658737
346.75,658737,658737
347,658737,658737
347.25,658737,658737
347.5,658737,658737
347.75,658737,658737
348,658737,658737
348.25,658737,658737
348.5,658737,658737
348.75,658737,658737
349,658737,658737
349.25,658737,658737
349.5,658737,658737
349.75,658737,658737
350,658737,658737
350.25,658737,658737
350.5,658737,658737
350.75,658737,658737
351,658737,658737
351.25,658737,658737
351.5,658737,658737
351.75,658737,658737
352,658737,658737
352.25,658737,658737
352.5,658737,658737
352.75,658737,658737
353,658737,658737
353.25,658737,658737
353.5,658737,658737
353.75,658737,658737
354,658737,658737
354.25,658737,658737
354.5,658737,658737
354.75,658737,658737
355,658737,658737
355.25,658737,658737
355.5,658737,658737
355.75,658737,658737
356,658737,658737
356.25,658737,658737
356.5,658737,658737
356.75,658737,658737
357,658737,658737
357.25,658737,658737
357.5,658737,658737
357.75,658737,658737
358,658737,658737
358.25,658737,658737
358.5,658737,658737
358.75,658737,658737
359,658737,658737
359.25,658737,658737
359.5,658737,658737
359.75,658737,658737
360,658737,658737
360.25,658737,658737
360.5,658737,658737
360.75,658737,658737
361,658737,658737
361.25,658737,658737
361.5,658737,658737
361.75,658737,658737
362,658737,658737
362.25,658737,658737
362.5,658737,658737
362.75,658737,658737
363,658737,658737
363.25,658737,658737
363.5,658737,658737
363.75,658737,658737
364,658737,658737
364.25,658737,658737
364.5,658737,658737
364.75,658737,658737
365,658737,658737
365.25,658737,658737
365.5,658737,658737
365.75,658737,658737
366,658737,658737
