Time,infections_by_new_infectives
296.5,0.461066
296.75,0.431624
297,1.49512
297.25,0.457305
297.5,0.842027
297.75,7.77285
298,0
298.25,0
298.5,7.7927
298.75,3.69765
299,2.59596
299.25,4.53812
299.5,0
299.75,4.17342
300,0
300.25,0.775384
300.5,0
300.75,0.202245
301,2.09406
301.25,5.93699
301.5,0
301.75,2.54487
302,0.191396
302.25,0.187206
302.5,0
302.75,0
303,4.52871
303.25,0.357311
303.5,0
303.75,0.329598
304,0.0790834
304.25,0
304.5,0.0836786
304.75,0.0847243
305,3.82906
305.25,0
305.5,2.12709
305.75,0
306,0
306.25,0
306.5,13.6795
306.75,0
307,0.0961951
307.25,0
307.5,0
307.75,0.153373
308,0
308.25,0
308.5,0
308.75,2.79607
309,0.992306
309.25,0
309.5,0
309.75,0
310,0
310.25,0
310.5,2.24078
310.75,0
311,0
311.25,0.0682557
311.5,0.0694397
311.75,1.23136
312,0
312.25,1.0729
312.5,0
312.75,0
313,0.436934
313.25,0
313.5,0.202264
313.75,3.7914
314,0
314.25,0.233681
314.5,0.648709
314.75,0
315,0
315.25,0
315.5,0
315.75,0.834101
316,0
316.25,5.94505
316.5,0.0717361
316.75,0
317,0
317.25,0.171048
317.5,5.88963
317.75,0
318,0
318.25,0
318.5,0.389855
318.75,0
319,0
319.25,0
319.5,0
319.75,0
320,0
320.25,0
320.5,0
320.75,0
321,0
321.25,0
321.5,2.44288
321.75,0
322,0
322.25,1.04389
322.5,1.04389
322.75,0
323,1.60903
323.25,0
323.5,0
323.75,0
324,0
324.25,0
324.5,0
324.75,0
325,0.040684
325.25,0
325.5,0.117203
325.75,0
326,0
326.25,0
326.5,0.761657
326.75,0
327,0
327.25,0.862836
327.5,0
327.75,0
328,0
328.25,0
328.5,0
328.75,0.472811
329,0
329.25,0
329.5,0
329.75,0
330,0
330.25,0
330.5,0
330.75,0
331,0
331.25,0
331.5,0
331.75,0
332,0
332.25,0
332.5,0.000744638
332.75,0
333,0
333.25,0
333.5,0
333.75,0
334,0
334.25,0
334.5,0
334.75,0
335,0
335.25,0
335.5,0
335.75,0
336,0
336.25,0
336.5,0
336.75,0
337,0
337.25,0
337.5,0
337.75,0
338,0
338.25,0
338.5,1.52029
338.75,0
339,0
339.25,0
339.5,0
339.75,0
340,0
340.25,0
340.5,0
340.75,0
341,0
341.25,0
341.5,0
341.75,0
342,0
342.25,0
342.5,0
342.75,0
343,0
343.25,0
343.5,0
343.75,0
344,0
344.25,0
344.5,0
344.75,0
345,0
345.25,0
345.5,0
345.75,0
346,0
346.25,0
346.5,0
346.75,0
347,0
347.25,0
347.5,0
347.75,0
348,0
348.25,0
348.5,0
348.75,0
349,0
349.25,0
349.5,0
349.75,0
350,0
350.25,0
350.5,0
350.75,0
351,0
351.25,0
351.5,0
351.75,0
352,0
352.25,0
352.5,0
352.75,0
353,0
353.25,0
353.5,0
353.75,0
354,0
354.25,0
354.5,0
354.75,0
355,0
355.25,0
355.5,0
355.75,0
356,0
356.25,0
356.5,0
356.75,0
357,0
357.25,0
357.5,0
357.75,0
358,0
358.25,0
358.5,0
358.75,0
359,0
359.25,0
359.5,0
359.75,0
360,0
360.25,0
360.5,0
360.75,0
361,0
361.25,0
361.5,0
361.75,0
362,0
362.25,0
362.5,0
362.75,0
363,0
363.25,0
363.5,0
363.75,0
364,0
364.25,0
364.5,0
364.75,0
365,0
365.25,0
365.5,0
365.75,0
366,0
366.25,0
366.5,0
366.75,0
367,0
367.25,0
367.5,0
367.75,0
368,0
368.25,0
368.5,0
368.75,0
369,0
369.25,0
369.5,0
369.75,0
370,0
370.25,0
370.5,0
370.75,0
371,0
371.25,0
371.5,0
371.75,0
372,0
372.25,0
372.5,0
372.75,0
373,0
373.25,0
373.5,0
373.75,0
374,0
374.25,0
374.5,0
374.75,0
375,0
375.25,0
375.5,0
375.75,0
376,0
