Time,cumulative_mean_fraction_lambda_W
362.25,0.537552
362.5,0.537552
362.75,0.537552
363,0.537552
363.25,0.537552
363.5,0.537552
363.75,0.537552
364,0.537552
364.25,0.537552
364.5,0.537552
364.75,0.537552
365,0.537552
365.25,0.537552
365.5,0.537552
365.75,0.537552
366,0.537552
366.25,0.537552
366.5,0.537552
366.75,0.537552
367,0.537552
367.25,0.537552
367.5,0.537552
367.75,0.537552
368,0.537552
368.25,0.537552
368.5,0.537552
368.75,0.537552
369,0.537552
369.25,0.537552
369.5,0.537552
369.75,0.537552
370,0.537552
370.25,0.537552
370.5,0.537552
370.75,0.537552
371,0.537552
371.25,0.537552
371.5,0.537552
371.75,0.537552
372,0.537552
372.25,0.537552
372.5,0.537552
372.75,0.537552
373,0.537552
373.25,0.537552
373.5,0.537552
373.75,0.537552
374,0.537552
374.25,0.537552
374.5,0.537552
374.75,0.537552
375,0.537552
375.25,0.537552
375.5,0.537552
375.75,0.537552
376,0.537552
376.25,0.537552
376.5,0.537552
376.75,0.537552
377,0.537552
377.25,0.537552
377.5,0.537552
377.75,0.537552
378,0.537552
378.25,0.537552
378.5,0.537552
378.75,0.537552
379,0.537552
379.25,0.537552
379.5,0.537552
379.75,0.537552
380,0.537552
380.25,0.537552
380.5,0.537552
380.75,0.537552
381,0.537552
381.25,0.537552
381.5,0.537552
381.75,0.537552
382,0.537552
382.25,0.537552
382.5,0.537552
382.75,0.537552
383,0.537552
383.25,0.537552
383.5,0.537552
383.75,0.537552
384,0.537552
384.25,0.537552
384.5,0.537552
384.75,0.537552
385,0.537552
385.25,0.537552
385.5,0.537552
385.75,0.537552
386,0.537552
386.25,0.537552
386.5,0.537552
386.75,0.537552
387,0.537552
387.25,0.537552
387.5,0.537552
387.75,0.537552
388,0.537552
388.25,0.537552
388.5,0.537552
388.75,0.537552
389,0.537552
389.25,0.537552
389.5,0.537552
389.75,0.537552
390,0.537552
390.25,0.537552
390.5,0.537552
390.75,0.537552
391,0.537552
391.25,0.537552
391.5,0.537552
391.75,0.537552
392,0.537552
392.25,0.537552
392.5,0.537552
392.75,0.537552
393,0.537552
393.25,0.537552
393.5,0.537552
393.75,0.537552
394,0.537552
394.25,0.537552
394.5,0.537552
394.75,0.537552
395,0.537552
395.25,0.537552
395.5,0.537552
395.75,0.537552
396,0.537552
396.25,0.537552
396.5,0.537552
396.75,0.537552
397,0.537552
397.25,0.537552
397.5,0.537552
397.75,0.537552
398,0.537552
398.25,0.537552
398.5,0.537552
398.75,0.537552
399,0.537552
399.25,0.537552
399.5,0.537552
399.75,0.537552
400,0.537552
400.25,0.537552
400.5,0.537552
400.75,0.537552
401,0.537552
401.25,0.537552
401.5,0.537552
401.75,0.537552
402,0.537552
402.25,0.537552
402.5,0.537552
402.75,0.537552
403,0.537552
403.25,0.537552
403.5,0.537552
403.75,0.537552
404,0.537552
404.25,0.537552
404.5,0.537552
404.75,0.537552
405,0.537552
405.25,0.537552
405.5,0.537552
405.75,0.537552
406,0.537552
406.25,0.537552
406.5,0.537552
406.75,0.537552
407,0.537552
407.25,0.537552
407.5,0.537552
407.75,0.537552
408,0.537552
408.25,0.537552
408.5,0.537552
408.75,0.537552
409,0.537552
409.25,0.537552
409.5,0.537552
409.75,0.537552
410,0.537552
410.25,0.537552
410.5,0.537552
410.75,0.537552
411,0.537552
411.25,0.537552
411.5,0.537552
411.75,0.537552
412,0.537552
412.25,0.537552
412.5,0.537552
412.75,0.537552
413,0.537552
413.25,0.537552
413.5,0.537552
413.75,0.537552
414,0.537552
414.25,0.537552
414.5,0.537552
414.75,0.537552
415,0.537552
415.25,0.537552
415.5,0.537552
415.75,0.537552
416,0.537552
416.25,0.537552
416.5,0.537552
416.75,0.537552
417,0.537552
417.25,0.537552
417.5,0.537552
417.75,0.537552
418,0.537552
418.25,0.537552
418.5,0.537552
418.75,0.537552
419,0.537552
419.25,0.537552
419.5,0.537552
419.75,0.537552
420,0.537552
420.25,0.537552
420.5,0.537552
420.75,0.537552
421,0.537552
421.25,0.537552
421.5,0.537552
421.75,0.537552
422,0.537552
422.25,0.537552
422.5,0.537552
422.75,0.537552
423,0.537552
423.25,0.537552
423.5,0.537552
423.75,0.537552
424,0.537552
424.25,0.537552
424.5,0.537552
424.75,0.537552
425,0.537552
425.25,0.537552
425.5,0.537552
425.75,0.537552
426,0.537552
426.25,0.537552
426.5,0.537552
426.75,0.537552
427,0.537552
427.25,0.537552
427.5,0.537552
427.75,0.537552
428,0.537552
428.25,0.537552
428.5,0.537552
428.75,0.537552
429,0.537552
429.25,0.537552
429.5,0.537552
429.75,0.537552
430,0.537552
430.25,0.537552
430.5,0.537552
430.75,0.537552
431,0.537552
431.25,0.537552
431.5,0.537552
431.75,0.537552
432,0.537552
432.25,0.537552
432.5,0.537552
432.75,0.537552
433,0.537552
433.25,0.537552
433.5,0.537552
433.75,0.537552
434,0.537552
434.25,0.537552
434.5,0.537552
434.75,0.537552
435,0.537552
435.25,0.537552
435.5,0.537552
435.75,0.537552
436,0.537552
436.25,0.537552
436.5,0.537552
436.75,0.537552
437,0.537552
437.25,0.537552
437.5,0.537552
437.75,0.537552
438,0.537552
438.25,0.537552
438.5,0.537552
438.75,0.537552
439,0.537552
439.25,0.537552
439.5,0.537552
439.75,0.537552
440,0.537552
440.25,0.537552
440.5,0.537552
440.75,0.537552
441,0.537552
441.25,0.537552
441.5,0.537552
441.75,0.537552
442,0.537552
442.25,0.537552
442.5,0.537552
442.75,0.537552
443,0.537552
443.25,0.537552
443.5,0.537552
443.75,0.537552
444,0.537552
444.25,0.537552
444.5,0.537552
444.75,0.537552
445,0.537552
445.25,0.537552
445.5,0.537552
445.75,0.537552
446,0.537552
446.25,0.537552
446.5,0.537552
446.75,0.537552
447,0.537552
447.25,0.537552
447.5,0.537552
447.75,0.537552
448,0.537552
448.25,0.537552
448.5,0.537552
448.75,0.537552
449,0.537552
449.25,0.537552
449.5,0.537552
449.75,0.537552
450,0.537552
450.25,0.537552
450.5,0.537552
450.75,0.537552
451,0.537552
451.25,0.537552
451.5,0.537552
451.75,0.537552
452,0.537552
452.25,0.537552
452.5,0.537552
452.75,0.537552
453,0.537552
453.25,0.537552
453.5,0.537552
453.75,0.537552
454,0.537552
454.25,0.537552
454.5,0.537552
454.75,0.537552
455,0.537552
455.25,0.537552
455.5,0.537552
455.75,0.537552
456,0.537552
456.25,0.537552
456.5,0.537552
456.75,0.537552
457,0.537552
457.25,0.537552
457.5,0.537552
457.75,0.537552
458,0.537552
458.25,0.537552
458.5,0.537552
458.75,0.537552
459,0.537552
459.25,0.537552
459.5,0.537552
459.75,0.537552
460,0.537552
460.25,0.537552
460.5,0.537552
460.75,0.537552
461,0.537552
461.25,0.537552
461.5,0.537552
461.75,0.537552
462,0.537552
462.25,0.537552
462.5,0.537552
462.75,0.537552
463,0.537552
463.25,0.537552
463.5,0.537552
463.75,0.537552
464,0.537552
464.25,0.537552
464.5,0.537552
464.75,0.537552
465,0.537552
465.25,0.537552
465.5,0.537552
465.75,0.537552
466,0.537552
466.25,0.537552
466.5,0.537552
466.75,0.537552
467,0.537552
467.25,0.537552
467.5,0.537552
467.75,0.537552
468,0.537552
468.25,0.537552
468.5,0.537552
468.75,0.537552
469,0.537552
469.25,0.537552
469.5,0.537552
469.75,0.537552
470,0.537552
470.25,0.537552
470.5,0.537552
470.75,0.537552
471,0.537552
471.25,0.537552
471.5,0.537552
471.75,0.537552
472,0.537552
472.25,0.537552
472.5,0.537552
472.75,0.537552
473,0.537552
473.25,0.537552
473.5,0.537552
473.75,0.537552
474,0.537552
474.25,0.537552
474.5,0.537552
474.75,0.537552
475,0.537552
475.25,0.537552
475.5,0.537552
475.75,0.537552
476,0.537552
476.25,0.537552
476.5,0.537552
476.75,0.537552
477,0.537552
477.25,0.537552
477.5,0.537552
477.75,0.537552
478,0.537552
478.25,0.537552
478.5,0.537552
478.75,0.537552
479,0.537552
479.25,0.537552
479.5,0.537552
479.75,0.537552
480,0.537552
480.25,0.537552
480.5,0.537552
480.75,0.537552
481,0.537552
481.25,0.537552
481.5,0.537552
481.75,0.537552
482,0.537552
482.25,0.537552
482.5,0.537552
482.75,0.537552
483,0.537552
483.25,0.537552
483.5,0.537552
483.75,0.537552
484,0.537552
484.25,0.537552
484.5,0.537552
484.75,0.537552
485,0.537552
485.25,0.537552
485.5,0.537552
485.75,0.537552
486,0.537552
486.25,0.537552
486.5,0.537552
486.75,0.537552
487,0.537552
487.25,0.537552
487.5,0.537552
487.75,0.537552
488,0.537552
488.25,0.537552
488.5,0.537552
488.75,0.537552
489,0.537552
489.25,0.537552
489.5,0.537552
489.75,0.537552
490,0.537552
490.25,0.537552
490.5,0.537552
490.75,0.537552
491,0.537552
491.25,0.537552
491.5,0.537552
491.75,0.537552
492,0.537552
492.25,0.537552
492.5,0.537552
492.75,0.537552
493,0.537552
493.25,0.537552
493.5,0.537552
493.75,0.537552
494,0.537552
494.25,0.537552
494.5,0.537552
494.75,0.537552
495,0.537552
495.25,0.537552
495.5,0.537552
495.75,0.537552
496,0.537552
496.25,0.537552
496.5,0.537552
496.75,0.537552
497,0.537552
497.25,0.537552
497.5,0.537552
497.75,0.537552
498,0.537552
498.25,0.537552
498.5,0.537552
498.75,0.537552
499,0.537552
499.25,0.537552
499.5,0.537552
499.75,0.537552
500,0.537552
500.25,0.537552
500.5,0.537552
500.75,0.537552
501,0.537552
501.25,0.537552
501.5,0.537552
501.75,0.537552
502,0.537552
502.25,0.537552
502.5,0.537552
502.75,0.537552
503,0.537552
503.25,0.537552
503.5,0.537552
503.75,0.537552
504,0.537552
504.25,0.537552
504.5,0.537552
504.75,0.537552
505,0.537552
505.25,0.537552
505.5,0.537552
505.75,0.537552
506,0.537552
506.25,0.537552
506.5,0.537552
506.75,0.537552
507,0.537552
507.25,0.537552
507.5,0.537552
507.75,0.537552
508,0.537552
508.25,0.537552
508.5,0.537552
508.75,0.537552
509,0.537552
509.25,0.537552
509.5,0.537552
509.75,0.537552
510,0.537552
510.25,0.537552
510.5,0.537552
510.75,0.537552
511,0.537552
511.25,0.537552
511.5,0.537552
511.75,0.537552
512,0.537552
512.25,0.537552
512.5,0.537552
512.75,0.537552
513,0.537552
513.25,0.537552
513.5,0.537552
513.75,0.537552
514,0.537552
514.25,0.537552
514.5,0.537552
514.75,0.537552
515,0.537552
515.25,0.537552
515.5,0.537552
515.75,0.537552
516,0.537552
516.25,0.537552
516.5,0.537552
516.75,0.537552
517,0.537552
517.25,0.537552
517.5,0.537552
517.75,0.537552
518,0.537552
518.25,0.537552
518.5,0.537552
518.75,0.537552
519,0.537552
519.25,0.537552
519.5,0.537552
519.75,0.537552
520,0.537552
520.25,0.537552
520.5,0.537552
520.75,0.537552
521,0.537552
521.25,0.537552
521.5,0.537552
521.75,0.537552
522,0.537552
522.25,0.537552
522.5,0.537552
522.75,0.537552
523,0.537552
523.25,0.537552
523.5,0.537552
523.75,0.537552
524,0.537552
524.25,0.537552
524.5,0.537552
524.75,0.537552
525,0.537552
525.25,0.537552
525.5,0.537552
525.75,0.537552
526,0.537552
526.25,0.537552
526.5,0.537552
526.75,0.537552
527,0.537552
527.25,0.537552
527.5,0.537552
527.75,0.537552
528,0.537552
528.25,0.537552
528.5,0.537552
528.75,0.537552
529,0.537552
529.25,0.537552
529.5,0.537552
529.75,0.537552
530,0.537552
530.25,0.537552
530.5,0.537552
530.75,0.537552
531,0.537552
531.25,0.537552
531.5,0.537552
531.75,0.537552
532,0.537552
532.25,0.537552
532.5,0.537552
532.75,0.537552
533,0.537552
533.25,0.537552
533.5,0.537552
533.75,0.537552
534,0.537552
534.25,0.537552
534.5,0.537552
534.75,0.537552
535,0.537552
535.25,0.537552
535.5,0.537552
535.75,0.537552
536,0.537552
536.25,0.537552
536.5,0.537552
536.75,0.537552
537,0.537552
537.25,0.537552
537.5,0.537552
537.75,0.537552
538,0.537552
538.25,0.537552
538.5,0.537552
538.75,0.537552
539,0.537552
539.25,0.537552
539.5,0.537552
539.75,0.537552
540,0.537552
540.25,0.537552
540.5,0.537552
540.75,0.537552
541,0.537552
541.25,0.537552
541.5,0.537552
541.75,0.537552
542,0.537552
542.25,0.537552
542.5,0.537552
542.75,0.537552
543,0.537552
543.25,0.537552
543.5,0.537552
543.75,0.537552
544,0.537552
544.25,0.537552
544.5,0.537552
544.75,0.537552
545,0.537552
545.25,0.537552
545.5,0.537552
545.75,0.537552
546,0.537552
546.25,0.537552
546.5,0.537552
546.75,0.537552
547,0.537552
547.25,0.537552
547.5,0.537552
547.75,0.537552
548,0.537552
548.25,0.537552
548.5,0.537552
548.75,0.537552
549,0.537552
549.25,0.537552
549.5,0.537552
549.75,0.537552
550,0.537552
550.25,0.537552
550.5,0.537552
550.75,0.537552
551,0.537552
551.25,0.537552
551.5,0.537552
551.75,0.537552
552,0.537552
552.25,0.537552
552.5,0.537552
552.75,0.537552
553,0.537552
553.25,0.537552
553.5,0.537552
553.75,0.537552
554,0.537552
554.25,0.537552
554.5,0.537552
554.75,0.537552
555,0.537552
555.25,0.537552
555.5,0.537552
555.75,0.537552
556,0.537552
556.25,0.537552
556.5,0.537552
556.75,0.537552
557,0.537552
557.25,0.537552
557.5,0.537552
557.75,0.537552
558,0.537552
558.25,0.537552
558.5,0.537552
558.75,0.537552
559,0.537552
559.25,0.537552
559.5,0.537552
559.75,0.537552
560,0.537552
560.25,0.537552
560.5,0.537552
560.75,0.537552
561,0.537552
561.25,0.537552
561.5,0.537552
561.75,0.537552
562,0.537552
562.25,0.537552
562.5,0.537552
562.75,0.537552
563,0.537552
563.25,0.537552
563.5,0.537552
563.75,0.537552
564,0.537552
564.25,0.537552
564.5,0.537552
564.75,0.537552
565,0.537552
565.25,0.537552
565.5,0.537552
565.75,0.537552
566,0.537552
566.25,0.537552
566.5,0.537552
566.75,0.537552
567,0.537552
567.25,0.537552
567.5,0.537552
567.75,0.537552
568,0.537552
568.25,0.537552
568.5,0.537552
568.75,0.537552
569,0.537552
569.25,0.537552
569.5,0.537552
569.75,0.537552
570,0.537552
570.25,0.537552
570.5,0.537552
570.75,0.537552
571,0.537552
571.25,0.537552
571.5,0.537552
571.75,0.537552
572,0.537552
572.25,0.537552
572.5,0.537552
572.75,0.537552
573,0.537552
573.25,0.537552
573.5,0.537552
573.75,0.537552
574,0.537552
574.25,0.537552
574.5,0.537552
574.75,0.537552
575,0.537552
575.25,0.537552
575.5,0.537552
575.75,0.537552
576,0.537552
576.25,0.537552
576.5,0.537552
576.75,0.537552
577,0.537552
577.25,0.537552
577.5,0.537552
577.75,0.537552
578,0.537552
578.25,0.537552
578.5,0.537552
578.75,0.537552
579,0.537552
579.25,0.537552
579.5,0.537552
579.75,0.537552
580,0.537552
580.25,0.537552
580.5,0.537552
580.75,0.537552
581,0.537552
581.25,0.537552
581.5,0.537552
581.75,0.537552
582,0.537552
582.25,0.537552
582.5,0.537552
582.75,0.537552
583,0.537552
583.25,0.537552
583.5,0.537552
583.75,0.537552
584,0.537552
584.25,0.537552
584.5,0.537552
584.75,0.537552
585,0.537552
585.25,0.537552
