Time,susceptible_lambda_H
174.5,1468.09
174.75,1433.81
175,1397.59
175.25,1378.34
175.5,1401.2
175.75,1336.89
176,1265.03
176.25,1235.96
176.5,1239.26
176.75,1291.12
177,1298.05
177.25,1293.16
177.5,1238.74
177.75,1168.13
178,1187.44
178.25,1189.11
178.5,1189.86
178.75,1154.72
179,1136.39
179.25,1102.82
179.5,1117.57
179.75,1080.24
180,1048.5
180.25,1028.27
180.5,998.991
180.75,1012.02
181,985.34
181.25,1030.88
181.5,999.776
181.75,993.346
182,960.373
182.25,949.7
182.5,906.119
182.75,968.868
183,953.906
183.25,935.762
183.5,962.364
183.75,958.316
184,897.478
184.25,858.755
184.5,863.51
184.75,877.811
185,853.852
185.25,817.429
185.5,816.274
185.75,793.206
186,824.857
186.25,866.798
186.5,859.062
186.75,821.431
187,781.485
187.25,790.664
187.5,754.287
187.75,707.136
188,709.71
188.25,692.406
188.5,727.217
188.75,722.215
189,743.5
189.25,702.52
189.5,712.926
189.75,708.453
190,663.342
190.25,678.405
190.5,665.621
190.75,650.109
191,648.448
191.25,645.728
191.5,651.764
191.75,614.361
192,605.789
192.25,566.17
192.5,578.861
192.75,612.696
193,578.557
193.25,597.462
193.5,548.494
193.75,553.407
194,561.583
194.25,571.143
194.5,544.294
194.75,520.378
195,524.357
195.25,533.8
195.5,521.883
195.75,511.174
196,498.6
196.25,472.496
196.5,488.208
196.75,450.613
197,420.075
197.25,451.433
197.5,454.292
197.75,436.977
198,430.992
198.25,415.605
198.5,409.491
198.75,422.567
199,423.242
199.25,421.173
199.5,407.037
199.75,432.984
200,390.401
200.25,402.234
200.5,381.801
200.75,372.882
201,375.562
201.25,366.392
201.5,353.976
201.75,348.265
202,349.365
202.25,340.971
202.5,335.646
202.75,331.203
203,313.609
203.25,314.076
203.5,318.121
203.75,332.331
204,306.868
204.25,290.912
204.5,274.528
204.75,282.083
205,301.906
205.25,272.859
205.5,281.127
205.75,271.204
206,257.965
206.25,262.866
206.5,248.945
206.75,268.163
207,264.508
207.25,255.344
207.5,253.063
207.75,261.193
208,260.309
208.25,245.177
208.5,267.289
208.75,286.85
209,298.264
209.25,278.806
209.5,275.781
209.75,272.903
210,242.129
210.25,248.829
210.5,245.387
210.75,245.916
211,229.313
211.25,231.764
211.5,241.151
211.75,239.099
212,245.993
212.25,235.469
212.5,247.629
212.75,211.913
213,220.61
213.25,213.709
213.5,198.519
213.75,191.2
214,213.862
214.25,180.022
214.5,177.148
214.75,206.924
215,201.864
215.25,204.646
215.5,208.464
215.75,198.311
216,204.212
216.25,199.958
216.5,196.965
216.75,189.936
217,202.13
217.25,176.189
217.5,172.035
217.75,165.211
218,145.498
218.25,148.128
218.5,160.073
218.75,151.776
219,137.702
219.25,138.955
219.5,139.728
219.75,144.468
220,159.931
220.25,165.268
220.5,172.668
220.75,149.015
221,154.546
221.25,157.81
221.5,141.525
221.75,124.228
222,129.693
222.25,129.435
222.5,112.282
222.75,127.773
223,136.32
223.25,125.411
223.5,127.743
223.75,171.212
224,146.182
224.25,140.894
224.5,122.733
224.75,116.327
225,133.605
225.25,116.617
225.5,113.131
225.75,117.443
226,121.209
226.25,122.865
226.5,111.188
226.75,111.099
227,91.823
227.25,103.897
227.5,110.698
227.75,109.872
228,103.937
228.25,108.469
228.5,101.063
228.75,110.715
229,122.623
229.25,110.477
229.5,106.075
229.75,100.247
230,92.0686
230.25,77.8622
230.5,72.5035
230.75,84.1813
231,85.5434
231.25,76.533
231.5,95.1459
231.75,64.105
232,67.8398
232.25,55.6905
232.5,65.8604
232.75,59.1279
233,63.5715
233.25,72.0424
233.5,77.424
233.75,78.5929
234,73.1598
234.25,72.1907
234.5,63.6362
234.75,63.2833
235,75.2389
235.25,75.0905
235.5,71.239
235.75,72.7571
236,70.6141
236.25,69.0852
236.5,65.2117
236.75,73.6722
237,76.354
237.25,60.5036
237.5,61.9347
237.75,52.6897
238,57.1077
238.25,48.2593
238.5,48.7227
238.75,46.9163
239,42.2864
239.25,47.1913
239.5,50.5617
239.75,44.3154
240,43.8228
240.25,48.6878
240.5,50.4703
240.75,58.8829
