Time,susceptible_lambda_C
141.25,1267.36
141.5,1264.76
141.75,1274.33
142,1273.75
142.25,1272.35
142.5,1279.14
142.75,1278.13
143,1276.82
143.25,1277.15
143.5,1276.98
143.75,1280.38
144,1277.39
144.25,1286.66
144.5,1291.07
144.75,1282.53
145,1275.73
145.25,1286.48
145.5,1278.78
145.75,1278.91
146,1276.23
146.25,1281.73
146.5,1276.06
146.75,1283.14
147,1280.88
147.25,1287.01
147.5,1280.89
147.75,1283.72
148,1286.39
148.25,1281.89
148.5,1273.71
148.75,1268.63
149,1273.35
149.25,1265.25
149.5,1263.69
149.75,1260.12
150,1252.86
150.25,1253.59
150.5,1257.77
150.75,1259.29
151,1269.12
151.25,1261.5
151.5,1259.7
151.75,1267.21
152,1273.93
152.25,1288.75
152.5,1289.97
152.75,1280.13
153,1276.43
153.25,1269.16
153.5,1278.7
153.75,1268.43
154,1262.88
154.25,1254.67
154.5,1235.54
154.75,1238.78
155,1229.48
155.25,1225.51
155.5,1213.7
155.75,1204.62
156,1208.15
156.25,1198.05
156.5,1176.14
156.75,1167.83
157,1165.7
157.25,1163.33
157.5,1160.24
157.75,1152.78
158,1160.47
158.25,1149.29
158.5,1139.14
158.75,1137.18
159,1144.17
159.25,1125.39
159.5,1116.72
159.75,1111.4
160,1102.49
160.25,1090.91
160.5,1088.28
160.75,1081.35
161,1083.82
161.25,1071.4
161.5,1064.86
161.75,1057.91
162,1049.63
162.25,1054.14
162.5,1049.03
162.75,1049.16
163,1041.09
163.25,1034.53
163.5,1029.78
163.75,1017.93
164,1014.46
164.25,1002.31
164.5,996.983
164.75,981.913
165,969.638
165.25,954.871
165.5,950.757
165.75,949.269
166,949.655
166.25,942.261
166.5,931.981
166.75,924.395
167,912.491
167.25,899.094
167.5,895.052
167.75,884.142
168,878.389
168.25,871.809
168.5,870.057
168.75,863.684
169,860.917
169.25,846.548
169.5,837.64
169.75,835.065
170,818.455
170.25,810.771
170.5,801.372
170.75,795.763
171,787.781
171.25,784.371
171.5,777.933
171.75,772.035
172,759.851
172.25,756.664
172.5,756.459
172.75,742.449
173,730.053
173.25,727.601
173.5,724.068
173.75,722.179
174,709.722
174.25,706.738
174.5,693.025
174.75,688.06
175,679.995
175.25,671.291
175.5,672.638
175.75,665.61
176,658.57
176.25,651.378
176.5,645.767
176.75,640.087
177,629.883
177.25,624.175
177.5,617.9
177.75,605.453
178,602.753
178.25,604.808
178.5,602.351
178.75,595.868
179,589.866
179.25,583.103
179.5,578.514
179.75,571.034
180,570.795
180.25,565.92
180.5,551.885
180.75,544.173
181,535.549
181.25,532.167
181.5,532.692
181.75,529.018
182,518.992
182.25,516.431
182.5,507.124
182.75,499.937
183,493.348
183.25,485.507
183.5,481.832
183.75,476.23
184,472.808
184.25,468.091
184.5,462.253
184.75,458.021
185,447.727
185.25,437.846
185.5,430.417
185.75,421.23
186,413.532
186.25,420.132
186.5,416.071
186.75,417.129
187,412.603
187.25,408.492
187.5,407.476
187.75,407.149
188,399.59
188.25,403.879
188.5,395.879
188.75,393.338
189,389.646
189.25,385.106
189.5,383.164
189.75,374.257
190,364.67
190.25,362.866
190.5,357.959
190.75,348.58
191,343.24
191.25,339.675
191.5,337.957
191.75,329.745
192,312.984
192.25,306.612
192.5,307.297
192.75,302.96
193,293.886
193.25,290.057
193.5,287.858
